"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.678315736020818,0.267899534226806,"ETO Direct Model","Correct linear",0.604057773708049,0.752573698333587
600,"ETO_correct_Direct_Model",0.378156344617281,0.173607364745072,"ETO Direct Model","Correct linear",0.330034838226215,0.426277851008346
800,"ETO_correct_Direct_Model",0.210319660644112,0.111244073032218,"ETO Direct Model","Correct linear",0.179484376788218,0.241154944500006
1000,"ETO_correct_Direct_Model",0.149464179894763,0.0794175183036847,"ETO Direct Model","Correct linear",0.127450766925647,0.17147759286388
1200,"ETO_correct_Direct_Model",0.102346984449461,0.0492268909163094,"ETO Direct Model","Correct linear",0.0887019864430694,0.115991982455853
1400,"ETO_correct_Direct_Model",0.0827312888394822,0.0449595016488597,"ETO Direct Model","Correct linear",0.070269150789569,0.0951934268893954
1600,"ETO_correct_Direct_Model",0.0704578546244583,0.0433464094373895,"ETO Direct Model","Correct linear",0.0584428429235778,0.0824728663253389
400,"ETO_wrong_Direct_Mode",2.5074827992866,0.414859604005266,"ETO Direct Model","Wrong linear",2.39248958390746,2.62247601466574
600,"ETO_wrong_Direct_Mode",2.38177342805754,0.367406896909784,"ETO Direct Model","Wrong linear",2.27993343201977,2.48361342409531
800,"ETO_wrong_Direct_Mode",2.35013183213342,0.354875873278358,"ETO Direct Model","Wrong linear",2.25176525863536,2.44849840563147
1000,"ETO_wrong_Direct_Mode",2.3200196602967,0.394248590738751,"ETO Direct Model","Wrong linear",2.21073952631874,2.42929979427467
1200,"ETO_wrong_Direct_Mode",2.26108545304635,0.344243448276296,"ETO Direct Model","Wrong linear",2.16566603739751,2.35650486869519
1400,"ETO_wrong_Direct_Mode",2.17437682891581,0.314124021361005,"ETO Direct Model","Wrong linear",2.08730609246573,2.26144756536589
1600,"ETO_wrong_Direct_Mode",2.10923089911443,0.293067409657422,"ETO Direct Model","Wrong linear",2.02799675765073,2.19046504057814
