ETO_lambda,n
4.641588833612779,400
1.0,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
1.0,400
4.641588833612779,400
1.0,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
1.0,400
4.641588833612779,400
1.0,400
4.641588833612779,400
0.21544346900318834,400
1.0,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
1.0,400
4.641588833612779,400
1.0,400
1.0,400
4.641588833612779,400
4.641588833612779,400
1.0,400
4.641588833612779,400
1.0,400
9.999999999999991e-05,400
4.641588833612779,400
9.999999999999991e-05,400
4.641588833612779,400
0.21544346900318834,400
4.641588833612779,400
1.0,400
1.0,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
9.999999999999991e-05,400
1.0,400
4.641588833612779,400
4.641588833612779,400
4.641588833612779,400
1.0,400
1.0,400
4.641588833612779,400
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
0.21544346900318834,600
4.641588833612779,600
4.641588833612779,600
21.544346900318843,600
1.0,600
4.641588833612779,600
1.0,600
4.641588833612779,600
1.0,600
4.641588833612779,600
1.0,600
0.21544346900318834,600
0.21544346900318834,600
1.0,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,600
1.0,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
1.0,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
1.0,600
1.0,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
4.641588833612779,600
1.0,600
4.641588833612779,600
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
0.046415888336127774,800
4.641588833612779,800
4.641588833612779,800
21.544346900318843,800
0.21544346900318834,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
9.999999999999991e-05,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
9.999999999999991e-05,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,800
4.641588833612779,800
4.641588833612779,800
1.0,800
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
1.0,1000
4.641588833612779,1000
21.544346900318843,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
21.544346900318843,1000
1.0,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
4.641588833612779,1000
9.999999999999991e-05,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
1.0,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1000
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
21.544346900318843,1200
1.0,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
1.0,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
1.0,1200
4.641588833612779,1200
4.641588833612779,1200
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
4.641588833612779,1400
21.544346900318843,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
21.544346900318843,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
1.0,1400
21.544346900318843,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1400
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
9.999999999999991e-05,1600
21.544346900318843,1600
4.641588833612779,1600
21.544346900318843,1600
4.641588833612779,1600
4.641588833612779,1600
1.0,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
21.544346900318843,1600
1.0,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
1.0,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
1.0,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
1.0,1600
4.641588833612779,1600
4.641588833612779,1600
0.21544346900318834,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
4.641588833612779,1600
21.544346900318843,1600
0.21544346900318834,1600
21.544346900318843,1600
4.641588833612779,1600
1.0,1600
4.641588833612779,1600
