"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.678315736020818,0.267899534226806,"ETO Direct Model","Correct linear",0.604057773708049,0.752573698333587
600,"ETO_correct_Direct_Model",0.378156344617281,0.173607364745072,"ETO Direct Model","Correct linear",0.330034838226215,0.426277851008346
800,"ETO_correct_Direct_Model",0.210319660644112,0.111244073032218,"ETO Direct Model","Correct linear",0.179484376788218,0.241154944500006
1000,"ETO_correct_Direct_Model",0.149464179894763,0.0794175183036847,"ETO Direct Model","Correct linear",0.127450766925647,0.17147759286388
1200,"ETO_correct_Direct_Model",0.102346984449461,0.0492268909163094,"ETO Direct Model","Correct linear",0.0887019864430694,0.115991982455853
1400,"ETO_correct_Direct_Model",0.0827312888394822,0.0449595016488597,"ETO Direct Model","Correct linear",0.070269150789569,0.0951934268893954
1600,"ETO_correct_Direct_Model",0.0704578546244583,0.0433464094373895,"ETO Direct Model","Correct linear",0.0584428429235778,0.0824728663253389
400,"ETO_wrong_Direct_Model",2.24089084430684,0.30458933120961,"ETO Direct Model","Wrong linear",2.15646298912928,2.32531869948439
600,"ETO_wrong_Direct_Model",2.08048336325751,0.309225128569457,"ETO Direct Model","Wrong linear",1.99477053061021,2.16619619590481
800,"ETO_wrong_Direct_Model",1.96725617104852,0.327801123105129,"ETO Direct Model","Wrong linear",1.87639433541347,2.05811800668358
1000,"ETO_wrong_Direct_Model",1.85559862354559,0.315714854319117,"ETO Direct Model","Wrong linear",1.76808693069672,1.94311031639445
1200,"ETO_wrong_Direct_Model",1.77107995537799,0.290990321807498,"ETO Direct Model","Wrong linear",1.69042155329257,1.85173835746341
1400,"ETO_wrong_Direct_Model",1.71809975637966,0.270896107369085,"ETO Direct Model","Wrong linear",1.64301118636872,1.79318832639061
1600,"ETO_wrong_Direct_Model",1.69232754409365,0.241140967484703,"ETO Direct Model","Wrong linear",1.62548667806816,1.75916841011913
