"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",3.04999643809707,0.315502638224599,"ETO Direct Model","Correct linear",2.9625435685485,3.13744930764565
600,"ETO_correct_Direct_Model",3.09836373292943,0.301161840264697,"ETO Direct Model","Correct linear",3.014885929771,3.18184153608786
800,"ETO_correct_Direct_Model",2.99111564183552,0.352232956510082,"ETO Direct Model","Correct linear",2.8934816474901,3.08874963618094
1000,"ETO_correct_Direct_Model",2.4608919211449,0.452150046683462,"ETO Direct Model","Correct linear",2.33556232240842,2.58622151988139
1200,"ETO_correct_Direct_Model",1.71488899447399,0.473896767650297,"ETO Direct Model","Correct linear",1.58353151222273,1.84624647672525
1400,"ETO_correct_Direct_Model",1.04928333560096,0.284128412581531,"ETO Direct Model","Correct linear",0.970526957713402,1.12803971348851
1600,"ETO_correct_Direct_Model",0.715771786659202,0.244679214183556,"ETO Direct Model","Correct linear",0.647950168685884,0.783593404632521
400,"ETO_wrong_Direct_Model",3.07237486550995,0.38402246459898,"ETO Direct Model","Wrong linear",2.96592926908236,3.17882046193755
600,"ETO_wrong_Direct_Model",3.07410489548934,0.371818723512599,"ETO Direct Model","Wrong linear",2.97104200350833,3.17716778747035
800,"ETO_wrong_Direct_Model",2.88479198585319,0.459903328930347,"ETO Direct Model","Wrong linear",2.75731328692304,3.01227068478334
1000,"ETO_wrong_Direct_Model",2.86432389922614,0.410340614868774,"ETO Direct Model","Wrong linear",2.75058328372911,2.97806451472316
1200,"ETO_wrong_Direct_Model",2.83571379489407,0.380965157552926,"ETO Direct Model","Wrong linear",2.73011564074389,2.94131194904425
1400,"ETO_wrong_Direct_Model",2.77926431462468,0.403069221685577,"ETO Direct Model","Wrong linear",2.66753922648763,2.89098940276173
1600,"ETO_wrong_Direct_Model",2.69499242967201,0.378023100547832,"ETO Direct Model","Wrong linear",2.59020977211773,2.79977508722628
