"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDM",3.03679270269771,0.351812959086369,2.93927512569864,3.13431027969679
400,"SPO_Wrong_CDM",3.03899550655241,0.358419845003321,2.93964659421024,3.13834441889457
600,"SPO_Correct_CDM",3.12641083497111,0.323296663122996,3.03679757194205,3.21602409800018
600,"SPO_Wrong_CDM",3.12538935203281,0.32722111508096,3.03468828641971,3.21609041764591
800,"SPO_Correct_CDM",3.03781828918181,0.390932028139433,2.9294574594543,3.14617911890933
800,"SPO_Wrong_CDM",3.00398894810186,0.360473682994492,2.90407074091346,3.10390715529026
1000,"SPO_Correct_CDM",2.61087754654163,0.444171393380233,2.48775951766848,2.73399557541478
1000,"SPO_Wrong_CDM",2.59420841337365,0.46391943140254,2.46561650763302,2.72280031911428
1200,"SPO_Correct_CDM",1.99105630933625,0.516956632683947,1.84776324144058,2.13434937723193
1200,"SPO_Wrong_CDM",2.06784145069172,0.547156527881906,1.9161773989273,2.21950550245615
1400,"SPO_Correct_CDM",1.3499969995453,0.319936048097254,1.26131525147631,1.4386787476143
1400,"SPO_Wrong_CDM",1.43274198901968,0.324024632624023,1.34292694313971,1.52255703489965
1600,"SPO_Correct_CDM",1.04167320766345,0.332777118621674,0.94943209644062,1.13391431888629
1600,"SPO_Wrong_CDM",1.15381132516765,0.324136372036872,1.06396530670263,1.24365734363267
400,"SPO_Correct_Wrong_CDM",3.15958388711025,0.401733821173683,3.04822895311017,3.27093882111034
400,"SPO_Wrong_Wrong_CDM",3.17763623964714,0.416436721365911,3.06220586963887,3.2930666096554
600,"SPO_Correct_Wrong_CDM",3.1034626088644,0.403621645991554,2.99158439652199,3.21534082120681
600,"SPO_Wrong_Wrong_CDM",3.09204399962331,0.39395249777121,2.98284593842867,3.20124206081796
800,"SPO_Correct_Wrong_CDM",3.01822018620219,0.404406176797205,2.90612451301511,3.13031585938926
800,"SPO_Wrong_Wrong_CDM",3.00286528246529,0.398809488339134,2.89232093217169,3.1134096327589
1000,"SPO_Correct_Wrong_CDM",2.88881991076025,0.377008891898006,2.78431837750099,2.9933214440195
1000,"SPO_Wrong_Wrong_CDM",2.88769682330895,0.373883846870248,2.7840615083377,2.99133213828019
1200,"SPO_Correct_Wrong_CDM",2.75626681908362,0.348611374693572,2.65963667600214,2.8528969621651
1200,"SPO_Wrong_Wrong_CDM",2.76835749934248,0.347582744424739,2.67201247802486,2.86470252066009
1400,"SPO_Correct_Wrong_CDM",2.71562399342046,0.432840944728595,2.59564660468089,2.83560138216003
1400,"SPO_Wrong_Wrong_CDM",2.72383021529266,0.438973446418816,2.60215298380902,2.8455074467763
1600,"SPO_Correct_Wrong_CDM",2.62999254777956,0.379325474624443,2.52484889054913,2.73513620500999
1600,"SPO_Wrong_Wrong_CDM",2.64262554646021,0.365026318549094,2.54144541307842,2.743805679842
