"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDR",3.04890474832554,0.341795005292819,2.95416400644639,3.14364549020469
400,"SPO_Wrong_CDR",3.09972882929379,0.314460400544062,3.01256485329116,3.18689280529641
600,"SPO_Correct_CDR",3.12584046983962,0.308016597030742,3.04046262504407,3.21121831463517
600,"SPO_Wrong_CDR",3.13983657961143,0.314448076846634,3.05267601956346,3.22699713965941
800,"SPO_Correct_CDR",3.02701868143386,0.399402250488317,2.91631002585521,3.13772733701251
800,"SPO_Wrong_CDR",3.05833677393807,0.331673349043429,2.96640161203307,3.15027193584308
1000,"SPO_Correct_CDR",2.65109601513841,0.45564994366219,2.52479629445418,2.77739573582265
1000,"SPO_Wrong_CDR",2.73718941425193,0.428732831157624,2.61835073649822,2.85602809200565
1200,"SPO_Correct_CDR",2.04423930101933,0.507315913142808,1.90361850424358,2.18486009779509
1200,"SPO_Wrong_CDR",2.27202274919334,0.497575786224427,2.13410177785668,2.40994372053
1400,"SPO_Correct_CDR",1.429813678025,0.310439038462724,1.34376436672213,1.51586298932787
1400,"SPO_Wrong_CDR",1.64211448258065,0.372951393208057,1.53873763057802,1.74549133458328
1600,"SPO_Correct_CDR",1.14044769273389,0.331629289046426,1.04852474363697,1.23237064183081
1600,"SPO_Wrong_CDR",1.47314262573502,0.330047961024478,1.381657998403,1.56462725306705
400,"SPO_Correct_Wrong_CDR",3.08008847085188,0.349103876340872,2.98332181327862,3.17685512842514
400,"SPO_Wrong_Wrong_CDR",3.09860742155561,0.341909189946036,3.00383502930536,3.19337981380586
600,"SPO_Correct_Wrong_CDR",3.11603411977991,0.388547062895423,3.00833436869039,3.22373387086943
600,"SPO_Wrong_Wrong_CDR",3.13862652138719,0.363900140801215,3.03775854855096,3.23949449422342
800,"SPO_Correct_Wrong_CDR",2.97643207087118,0.425945472535067,2.85836600950944,3.09449813223292
800,"SPO_Wrong_Wrong_CDR",2.98884640401104,0.412117529226921,2.87461325298266,3.10307955503942
1000,"SPO_Correct_Wrong_CDR",2.97882703910463,0.401694546068581,2.86748299160826,3.090171086601
1000,"SPO_Wrong_Wrong_CDR",2.99213955062503,0.364789238992284,2.89102513234366,3.0932539689064
1200,"SPO_Correct_Wrong_CDR",2.96297887743039,0.402333228542108,2.85145779618446,3.07449995867632
1200,"SPO_Wrong_Wrong_CDR",2.9717933674854,0.408120552416703,2.85866812190446,3.08491861306634
1400,"SPO_Correct_Wrong_CDR",2.91126078428089,0.404818586301208,2.79905079701151,3.02347077155028
1400,"SPO_Wrong_Wrong_CDR",2.90972518828145,0.382268618077783,2.80376573330703,3.01568464325587
1600,"SPO_Correct_Wrong_CDR",2.86633355757958,0.411948545698863,2.75214724639545,2.98051986876372
1600,"SPO_Wrong_Wrong_CDR",2.83135483631677,0.387417758280771,2.72396811249606,2.93874156013748
