"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_IPW_Ideal",3.18210903391761,0.227816261045733,"SPO Ideal IPW","Correct linear",3.118961588082,3.24525647975321
400,"SPO_wrong_IPW_Ideal",3.23733499044781,0.245324935701033,"SPO Ideal IPW","Wrong linear",3.16933438760149,3.30533559329412
600,"SPO_correct_IPW_Ideal",3.23148750687161,0.19639073605161,"SPO Ideal IPW","Correct linear",3.17705077215168,3.28592424159154
600,"SPO_wrong_IPW_Ideal",3.23800649107506,0.164691776326479,"SPO Ideal IPW","Wrong linear",3.19235625971138,3.28365672243873
800,"SPO_correct_IPW_Ideal",3.25259084190511,0.150151559967515,"SPO Ideal IPW","Correct linear",3.21097095289167,3.29421073091854
800,"SPO_wrong_IPW_Ideal",3.26071103862657,0.0609316166595237,"SPO Ideal IPW","Wrong linear",3.24382165616976,3.27760042108339
1000,"SPO_correct_IPW_Ideal",3.25166839508584,0.0821647008501627,"SPO Ideal IPW","Correct linear",3.22889350196488,3.27444328820681
1000,"SPO_wrong_IPW_Ideal",3.25467204514999,0.0534777917601948,"SPO Ideal IPW","Wrong linear",3.23984875754496,3.26949533275503
1200,"SPO_correct_IPW_Ideal",3.25837961764656,0.105306236300293,"SPO Ideal IPW","Correct linear",3.2291902181612,3.28756901713191
1200,"SPO_wrong_IPW_Ideal",3.25018659780282,0.0671006373562332,"SPO Ideal IPW","Wrong linear",3.23158725004978,3.26878594555586
1400,"SPO_correct_IPW_Ideal",3.24661585330011,0.0726386551820252,"SPO Ideal IPW","Correct linear",3.22648144532316,3.26675026127706
1400,"SPO_wrong_IPW_Ideal",3.25569279856645,0.0468106758962054,"SPO Ideal IPW","Wrong linear",3.24271754119406,3.26866805593884
1600,"SPO_correct_IPW_Ideal",3.23993537860453,0.0438944736879275,"SPO Ideal IPW","Correct linear",3.227768451244,3.25210230596506
1600,"SPO_wrong_IPW_Ideal",3.25205903631532,0.0407162972272859,"SPO Ideal IPW","Wrong linear",3.24077305452463,3.26334501810602
400,"SPO_correct_Sample_IPW",3.15905062910035,0.239173445480624,"SPO Sample IPW","Correct linear",3.09275513235015,3.22534612585056
400,"SPO_wrong_Sample_IPW",3.21778886329303,0.226992498858982,"SPO Sample IPW","Wrong linear",3.15486975268613,3.28070797389992
600,"SPO_correct_Sample_IPW",3.20130055579312,0.189511878873836,"SPO Sample IPW","Correct linear",3.14877054300362,3.25383056858262
600,"SPO_wrong_Sample_IPW",3.25087937657285,0.123494258902074,"SPO Sample IPW","Wrong linear",3.21664851443321,3.2851102387125
800,"SPO_correct_Sample_IPW",3.25920573011545,0.120781095090128,"SPO Sample IPW","Correct linear",3.22572691861552,3.29268454161538
800,"SPO_wrong_Sample_IPW",3.25697307057412,0.0723978859482217,"SPO Sample IPW","Wrong linear",3.23690540042388,3.27704074072436
1000,"SPO_correct_Sample_IPW",3.25930689417043,0.111015848264011,"SPO Sample IPW","Correct linear",3.22853487099278,3.29007891734808
1000,"SPO_wrong_Sample_IPW",3.26321835756932,0.0738426255873722,"SPO Sample IPW","Wrong linear",3.24275022602229,3.28368648911635
1200,"SPO_correct_Sample_IPW",3.25931036300672,0.0830819936573313,"SPO Sample IPW","Correct linear",3.23628120929176,3.28233951672168
1200,"SPO_wrong_Sample_IPW",3.25206692556546,0.0580787161508661,"SPO Sample IPW","Wrong linear",3.23596832678457,3.26816552434635
1400,"SPO_correct_Sample_IPW",3.23935306012731,0.0658105347999561,"SPO Sample IPW","Correct linear",3.22111131055852,3.25759480969609
1400,"SPO_wrong_Sample_IPW",3.25916394173665,0.044293492526412,"SPO Sample IPW","Wrong linear",3.24688641199693,3.27144147147637
1600,"SPO_correct_Sample_IPW",3.2397870643311,0.0537595267102655,"SPO Sample IPW","Correct linear",3.22488568378214,3.25468844488007
1600,"SPO_wrong_Sample_IPW",3.25006145783969,0.0312066010539069,"SPO Sample IPW","Wrong linear",3.24141142934428,3.25871148633511
