"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",2.53915391775584,0.442146356874212,"SPO Direct Model","Correct linear",2.41659720036455,2.66171063514714
400,"SPO_wrong_Direct_Model",2.52786011272636,0.401035607720112,"SPO Direct Model","Wrong linear",2.41669871362162,2.63902151183109
600,"SPO_correct_Direct_Model",2.41241361859392,0.370178200763286,"SPO Direct Model","Correct linear",2.30980545631911,2.51502178086872
600,"SPO_wrong_Direct_Model",2.4049224793211,0.372154817696548,"SPO Direct Model","Wrong linear",2.30176642678527,2.50807853185693
800,"SPO_correct_Direct_Model",2.27751923844774,0.324369664775367,"SPO Direct Model","Correct linear",2.18760855453478,2.3674299223607
800,"SPO_wrong_Direct_Model",2.26164036249786,0.358631337490688,"SPO Direct Model","Wrong linear",2.16223282742908,2.36104789756664
1000,"SPO_correct_Direct_Model",2.27670642065741,0.351591052876726,"SPO Direct Model","Correct linear",2.1792503529215,2.37416248839332
1000,"SPO_wrong_Direct_Model",2.2662583442072,0.34301433952126,"SPO Direct Model","Wrong linear",2.17117962012348,2.36133706829093
1200,"SPO_correct_Direct_Model",2.14140798060227,0.407009559473895,"SPO Direct Model","Correct linear",2.02859068655367,2.25422527465087
1200,"SPO_wrong_Direct_Model",2.12995680873427,0.385912989392053,"SPO Direct Model","Wrong linear",2.02298718556941,2.23692643189913
1400,"SPO_correct_Direct_Model",1.99894689705307,0.369820995367801,"SPO Direct Model","Correct linear",1.89643774706237,2.10145604704376
1400,"SPO_wrong_Direct_Model",1.99481670666861,0.356273593405296,"SPO Direct Model","Wrong linear",1.89606270491761,2.0935707084196
1600,"SPO_correct_Direct_Model",1.96545735212201,0.298794327124806,"SPO Direct Model","Correct linear",1.88263579012512,2.0482789141189
1600,"SPO_wrong_Direct_Model",1.96752729803349,0.308468291081335,"SPO Direct Model","Wrong linear",1.88202425003488,2.05303034603211
400,"SPO_correct_Double_Robust",2.37227508290501,0.398091251505494,"SPO Double Robust Sample Sigma","Correct linear",2.26192981770454,2.48262034810547
400,"SPO_wrong_Double_Robust",2.41887466981372,0.416295466017572,"SPO Double Robust Sample Sigma","Wrong linear",2.30348345379041,2.53426588583703
600,"SPO_correct_Double_Robust",2.24211625884288,0.384796591062286,"SPO Double Robust Sample Sigma","Correct linear",2.13545608550718,2.34877643217858
600,"SPO_wrong_Double_Robust",2.26513412450136,0.410018359490025,"SPO Double Robust Sample Sigma","Wrong linear",2.15148283363806,2.37878541536466
800,"SPO_correct_Double_Robust",2.0772716139207,0.367017292357011,"SPO Double Robust Sample Sigma","Correct linear",1.97553961075526,2.17900361708614
800,"SPO_wrong_Double_Robust",2.14213916426921,0.363129699316244,"SPO Double Robust Sample Sigma","Wrong linear",2.0414847469172,2.24279358162121
1000,"SPO_correct_Double_Robust",2.06790716545862,0.338343464635234,"SPO Double Robust Sample Sigma","Correct linear",1.97412314183884,2.1616911890784
