"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.467248243986733,0.182776725194222,"SPO Direct Model","Correct linear",0.416585120550195,0.517911367423272
400,"SPO_wrong_Direct_Model",0.82371729697034,0.205733096033485,"SPO Direct Model","Wrong linear",0.766690992180987,0.880743601759694
600,"SPO_correct_Direct_Model",0.231942973048503,0.122397423476752,"SPO Direct Model","Correct linear",0.198016138177555,0.265869807919451
600,"SPO_wrong_Direct_Model",0.58242139248586,0.13623666940741,"SPO Direct Model","Wrong linear",0.544658514354434,0.620184270617286
800,"SPO_correct_Direct_Model",0.130072510589903,0.0642976861080666,"SPO Direct Model","Correct linear",0.112250101284149,0.147894919895658
800,"SPO_wrong_Direct_Model",0.493998862464881,0.0824613003241105,"SPO Direct Model","Wrong linear",0.471141756164183,0.51685596876558
1000,"SPO_correct_Direct_Model",0.0729952605748495,0.0385138350918964,"SPO Direct Model","Correct linear",0.0623197701413612,0.0836707510083378
1000,"SPO_wrong_Direct_Model",0.449613999768068,0.0496160910318997,"SPO Direct Model","Wrong linear",0.435861120993615,0.463366878542522
1200,"SPO_correct_Direct_Model",0.0499046251018705,0.0268216451145365,"SPO Direct Model","Correct linear",0.0424700443817879,0.0573392058219531
1200,"SPO_wrong_Direct_Model",0.424995918941683,0.0359936881480744,"SPO Direct Model","Wrong linear",0.415018977601671,0.434972860281694
1400,"SPO_correct_Direct_Model",0.0404105725306237,0.0292867639042648,"SPO Direct Model","Correct linear",0.0322926957431834,0.048528449318064
1400,"SPO_wrong_Direct_Model",0.422686353103177,0.0320028720475443,"SPO Direct Model","Wrong linear",0.41381560954901,0.431557096657345
1600,"SPO_correct_Direct_Model",0.0318964093812225,0.0265625124750293,"SPO Direct Model","Correct linear",0.0245336565642159,0.0392591621982291
1600,"SPO_wrong_Direct_Model",0.41754666336514,0.0254044030863147,"SPO Direct Model","Wrong linear",0.410504922092963,0.424588404637317
400,"SPO_correct_Double_Robust",0.502076447555596,0.155315218205266,"SPO Double Robust Sample Sigma","Correct linear",0.459025265501947,0.545127629609246
400,"SPO_wrong_Double_Robust",0.980333605138343,0.208966733921847,"SPO Double Robust Sample Sigma","Wrong linear",0.922410981655714,1.03825622862097
600,"SPO_correct_Double_Robust",0.291804730690958,0.10640886961438,"SPO Double Robust Sample Sigma","Correct linear",0.262309696844131,0.321299764537785
600,"SPO_wrong_Double_Robust",0.774346775534852,0.143961179635666,"SPO Double Robust Sample Sigma","Wrong linear",0.734442772406439,0.814250778663266
800,"SPO_correct_Double_Robust",0.174835439338728,0.0699608157140108,"SPO Double Robust Sample Sigma","Correct linear",0.15544329059291,0.194227588084546
800,"SPO_wrong_Double_Robust",0.673884197231989,0.113118060782218,"SPO Double Robust Sample Sigma","Wrong linear",0.642529470473308,0.70523892399067
