"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",2.03287714749259,0.249874795469034,"SPO Direct Model","Correct linear",1.96361538786168,2.10213890712351
400,"SPO_wrong_Direct_Model",2.01013444537286,0.236101723143347,"SPO Direct Model","Wrong linear",1.94469038661494,2.07557850413078
600,"SPO_correct_Direct_Model",1.85249675701009,0.327454397270836,"SPO Direct Model","Correct linear",1.76173102887298,1.94326248514719
600,"SPO_wrong_Direct_Model",1.88194963991112,0.364961989674933,"SPO Direct Model","Wrong linear",1.78078733758352,1.98311194223871
800,"SPO_correct_Direct_Model",1.73988522502433,0.302339921298566,"SPO Direct Model","Correct linear",1.65608087446347,1.82368957558519
800,"SPO_wrong_Direct_Model",1.76484989387509,0.308004775818239,"SPO Direct Model","Wrong linear",1.67947532575247,1.8502244619977
1000,"SPO_correct_Direct_Model",1.69881055088674,0.332702301602461,"SPO Direct Model","Correct linear",1.60659017788358,1.79103092388989
1000,"SPO_wrong_Direct_Model",1.69264284205489,0.349197115056026,"SPO Direct Model","Wrong linear",1.59585034002835,1.78943534408143
1200,"SPO_correct_Direct_Model",1.60309023187281,0.318803470182747,"SPO Direct Model","Correct linear",1.51472241838505,1.69145804536056
1200,"SPO_wrong_Direct_Model",1.58466406592516,0.305235210578659,"SPO Direct Model","Wrong linear",1.50005718212039,1.66927094972993
1400,"SPO_correct_Direct_Model",1.55468073819547,0.291477339544224,"SPO Direct Model","Correct linear",1.47388734168073,1.63547413471021
1400,"SPO_wrong_Direct_Model",1.55718683312776,0.300761551718155,"SPO Direct Model","Wrong linear",1.47381998429364,1.64055368196188
1600,"SPO_correct_Direct_Model",1.51568225882103,0.260869055876868,"SPO Direct Model","Correct linear",1.44337304568343,1.58799147195864
1600,"SPO_wrong_Direct_Model",1.50474278740015,0.259091041310804,"SPO Direct Model","Wrong linear",1.43292641475597,1.57655916004433
400,"SPO_correct_Double_Robust",1.84843167886315,0.301955067505116,"SPO Double Robust Sample Sigma","Correct linear",1.76473400433132,1.93212935339498
400,"SPO_wrong_Double_Robust",1.85760901589394,0.307533458554107,"SPO Double Robust Sample Sigma","Wrong linear",1.77236509025167,1.9428529415362
600,"SPO_correct_Double_Robust",1.66156364893566,0.340889340955583,"SPO Double Robust Sample Sigma","Correct linear",1.56707394440308,1.75605335346823
