"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.467248243986733,0.182776725194222,"SPO Direct Model","Correct linear",0.416585120550195,0.517911367423272
400,"SPO_wrong_Direct_Model",0.570284780982324,0.177518559858079,"SPO Direct Model","Wrong linear",0.521079146617173,0.619490415347474
600,"SPO_correct_Direct_Model",0.231942973048503,0.122397423476752,"SPO Direct Model","Correct linear",0.198016138177555,0.265869807919451
600,"SPO_wrong_Direct_Model",0.322718351393939,0.120788121995533,"SPO Direct Model","Wrong linear",0.289237592135206,0.356199110652673
800,"SPO_correct_Direct_Model",0.130072510589903,0.0642976861080666,"SPO Direct Model","Correct linear",0.112250101284149,0.147894919895658
800,"SPO_wrong_Direct_Model",0.218255762521666,0.0679633571677026,"SPO Direct Model","Wrong linear",0.199417281037275,0.237094244006056
1000,"SPO_correct_Direct_Model",0.0729952605748495,0.0385138350918964,"SPO Direct Model","Correct linear",0.0623197701413612,0.0836707510083378
1000,"SPO_wrong_Direct_Model",0.162624009777564,0.0437018731760427,"SPO Direct Model","Wrong linear",0.150510468555217,0.174737550999912
1200,"SPO_correct_Direct_Model",0.0499046251018705,0.0268216451145365,"SPO Direct Model","Correct linear",0.0424700443817879,0.0573392058219531
1200,"SPO_wrong_Direct_Model",0.135223915744726,0.031993065887291,"SPO Direct Model","Wrong linear",0.126355890319505,0.144091941169948
1400,"SPO_correct_Direct_Model",0.0404105725306237,0.0292867639042648,"SPO Direct Model","Correct linear",0.0322926957431834,0.048528449318064
1400,"SPO_wrong_Direct_Model",0.122336909688211,0.0314835832825302,"SPO Direct Model","Wrong linear",0.113610105636041,0.131063713740381
1600,"SPO_correct_Direct_Model",0.0318964093812225,0.0265625124750293,"SPO Direct Model","Correct linear",0.0245336565642159,0.0392591621982291
1600,"SPO_wrong_Direct_Model",0.109201352799975,0.0285378028531626,"SPO Direct Model","Wrong linear",0.101291077424261,0.117111628175688
400,"SPO_correct_Double_Robust",0.502076447555596,0.155315218205266,"SPO Double Robust Sample Sigma","Correct linear",0.459025265501947,0.545127629609246
400,"SPO_wrong_Double_Robust",0.663462732593894,0.175936060324929,"SPO Double Robust Sample Sigma","Wrong linear",0.614695744719981,0.712229720467807
600,"SPO_correct_Double_Robust",0.291804730690958,0.10640886961438,"SPO Double Robust Sample Sigma","Correct linear",0.262309696844131,0.321299764537785
600,"SPO_wrong_Double_Robust",0.443565216480799,0.11824706250163,"SPO Double Robust Sample Sigma","Wrong linear",0.410788802978685,0.476341629982913
800,"SPO_correct_Double_Robust",0.174835439338728,0.0699608157140108,"SPO Double Robust Sample Sigma","Correct linear",0.15544329059291,0.194227588084546
800,"SPO_wrong_Double_Robust",0.329719061258432,0.0685065657264733,"SPO Double Robust Sample Sigma","Wrong linear",0.310730010043483,0.348708112473381
1000,"SPO_correct_Double_Robust",0.119998035753231,0.0459993254918739,"SPO Double Robust Sample Sigma","Correct linear",0.107247673238989,0.132748398267473
1000,"SPO_wrong_Double_Robust",0.275860533389265,0.059490830791657,"SPO Double Robust Sample Sigma","Wrong linear",0.259370516399754,0.292350550378776
1200,"SPO_correct_Double_Robust",0.0918147186629887,0.0354454753664,"SPO Double Robust Sample Sigma","Correct linear",0.0819897341533555,0.101639703172622
1200,"SPO_wrong_Double_Robust",0.231582676276655,0.0443293116787624,"SPO Double Robust Sample Sigma","Wrong linear",0.219295217974448,0.243870134578862
1400,"SPO_correct_Double_Robust",0.0797384491483338,0.0424934100783491,"SPO Double Robust Sample Sigma","Correct linear",0.0679598768068543,0.0915170214898132
1400,"SPO_wrong_Double_Robust",0.225339457937778,0.0502467749716104,"SPO Double Robust Sample Sigma","Wrong linear",0.211411762494228,0.239267153381329
1600,"SPO_correct_Double_Robust",0.0652403550656603,0.0303939600646158,"SPO Double Robust Sample Sigma","Correct linear",0.0568155791602895,0.0736651309710311
1600,"SPO_wrong_Double_Robust",0.212433069082282,0.0371156480810277,"SPO Double Robust Sample Sigma","Wrong linear",0.202145136315361,0.222721001849204
400,"SPO_correct_Lambda_Double_Robust",0.452607963347084,0.184774644852135,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.401391044835502,0.503824881858666
400,"SPO_wrong_Lambda_Double_Robust",0.574639495664555,0.170012700458072,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.527514379378913,0.621764611950197
600,"SPO_correct_Lambda_Double_Robust",0.234169410760779,0.118410409935218,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.201347719660097,0.266991101861462
600,"SPO_wrong_Lambda_Double_Robust",0.345341373661715,0.111495511505733,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.314436394616749,0.376246352706681
800,"SPO_correct_Lambda_Double_Robust",0.128984089802815,0.0592678714299704,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.112555873995322,0.145412305610308
800,"SPO_wrong_Lambda_Double_Robust",0.238715649042403,0.0562072809284241,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.223135785639757,0.254295512445049
1000,"SPO_correct_Lambda_Double_Robust",0.0812214204641571,0.0384868200197756,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.0705534182266196,0.0918894227016946
1000,"SPO_wrong_Lambda_Double_Robust",0.197191750285021,0.0385098432023493,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.186517366346862,0.207866134223179
1200,"SPO_correct_Lambda_Double_Robust",0.0547211716318779,0.0272537480787797,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.0471668180808099,0.0622755251829458
1200,"SPO_wrong_Lambda_Double_Robust",0.168795633586183,0.0330766103075852,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.159627264970897,0.177964002201469
1400,"SPO_correct_Lambda_Double_Robust",0.0471001770595375,0.0283012460008802,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.0392554718979431,0.054944882221132
1400,"SPO_wrong_Lambda_Double_Robust",0.158015914458937,0.0336018209149989,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.148701964890686,0.167329864027188
1600,"SPO_correct_Lambda_Double_Robust",0.0364016746918871,0.0256108732626211,"SPO Lambda Double Robust Sample Sigma","Correct linear",0.0293027028066925,0.0435006465770817
1600,"SPO_wrong_Lambda_Double_Robust",0.148064612916997,0.0304090723886899,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.139635648089108,0.156493577744886
400,"SPO_correct_Clip_Double_Robust",0.46410955325146,0.176053371752355,"SPO Clip Double Robust","Correct linear",0.415310048308856,0.512909058194063
400,"SPO_wrong_Clip_Double_Robust",0.61866918192789,0.1685937170865,"SPO Clip Double Robust","Wrong linear",0.571937387765905,0.665400976089876
600,"SPO_correct_Clip_Double_Robust",0.246749799006968,0.120470431483466,"SPO Clip Double Robust","Correct linear",0.213357099065473,0.280142498948464
600,"SPO_wrong_Clip_Double_Robust",0.374563169674478,0.109294989723647,"SPO Clip Double Robust","Wrong linear",0.344268144148222,0.404858195200733
800,"SPO_correct_Clip_Double_Robust",0.139319215045336,0.0586405589983649,"SPO Clip Double Robust","Correct linear",0.123064881372573,0.155573548718099
800,"SPO_wrong_Clip_Double_Robust",0.265858109062148,0.0569146698849642,"SPO Clip Double Robust","Wrong linear",0.250082167444484,0.281634050679811
1000,"SPO_correct_Clip_Double_Robust",0.0901514829970864,0.0375035022738228,"SPO Clip Double Robust","Correct linear",0.0797560425328688,0.100546923461304
1000,"SPO_wrong_Clip_Double_Robust",0.220707672004962,0.0401671264572038,"SPO Clip Double Robust","Wrong linear",0.209573912585485,0.231841431424439
1200,"SPO_correct_Clip_Double_Robust",0.0620968633928514,0.0290508324183656,"SPO Clip Double Robust","Correct linear",0.0540443834768124,0.0701493433088904
1200,"SPO_wrong_Clip_Double_Robust",0.192145412665353,0.0386674215384101,"SPO Clip Double Robust","Wrong linear",0.181427350240876,0.20286347508983
1400,"SPO_correct_Clip_Double_Robust",0.0502233440197537,0.0287274928134588,"SPO Clip Double Robust","Correct linear",0.042260489269599,0.0581861987699085
1400,"SPO_wrong_Clip_Double_Robust",0.177821138555241,0.0352189833675183,"SPO Clip Double Robust","Wrong linear",0.168058934424699,0.187583342685783
1600,"SPO_correct_Clip_Double_Robust",0.041561268746146,0.0251266953375108,"SPO Clip Double Robust","Correct linear",0.0345965041346568,0.0485260333576353
1600,"SPO_wrong_Clip_Double_Robust",0.169921347785868,0.0318139245550019,"SPO Clip Double Robust","Wrong linear",0.16110297780458,0.178739717767155
