"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_ISW_Sample",3.04575625695243,0.427424806086285,2.9272801452507,3.16423236865417
400,"SPO_Wrong_ISW_Sample",3.05457975143386,0.414620236817067,2.93965288525422,3.16950661761351
600,"SPO_Correct_ISW_Sample",3.15118216310733,0.41987376900684,3.03479909209895,3.26756523411571
600,"SPO_Wrong_ISW_Sample",3.11844879664755,0.431698773646366,2.99878800157965,3.23810959171545
800,"SPO_Correct_ISW_Sample",3.06670852140232,0.399696110192252,2.95591841206943,3.1774986307352
800,"SPO_Wrong_ISW_Sample",3.09877086360345,0.401658331809219,2.98743685418764,3.21010487301926
1000,"SPO_Correct_ISW_Sample",3.04968319997155,0.407987104096363,2.93659494437782,3.16277145556528
1000,"SPO_Wrong_ISW_Sample",3.04190858376735,0.364903294080389,2.9407625510285,3.1430546165062
1200,"SPO_Correct_ISW_Sample",3.04185719094506,0.294138058086968,2.96032628087756,3.12338810101257
1200,"SPO_Wrong_ISW_Sample",3.00139949069073,0.316277065547339,2.91373196084006,3.08906702054139
1400,"SPO_Correct_ISW_Sample",3.05122866353893,0.292445255358463,2.97016697444853,3.13229035262933
1400,"SPO_Wrong_ISW_Sample",3.02439918307272,0.309169038931383,2.93870189767989,3.11009646846556
1600,"SPO_Correct_ISW_Sample",3.0668389710742,0.326985964845383,2.97620308578096,3.15747485636744
1600,"SPO_Wrong_ISW_Sample",3.05022606049277,0.271382723448665,2.97500260738618,3.12544951359936
