"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.64392486668704,0.278763640304922,"ETO Direct Model","Correct linear",0.56665552780716,0.72119420556692
600,"ETO_correct_Direct_Model",0.401388689795938,0.189546276999459,"ETO Direct Model","Correct linear",0.348849142332466,0.453928237259411
800,"ETO_correct_Direct_Model",0.267756546765146,0.15055096248648,"ETO Direct Model","Correct linear",0.226025949021712,0.30948714450858
1000,"ETO_correct_Direct_Model",0.178708820008083,0.113383234220837,"ETO Direct Model","Correct linear",0.147280590922239,0.210137049093926
1200,"ETO_correct_Direct_Model",0.121438696060869,0.0868709500727417,"ETO Direct Model","Correct linear",0.0973592972101244,0.145518094911614
1400,"ETO_correct_Direct_Model",0.0856688671609202,0.0366963303303254,"ETO Direct Model","Correct linear",0.0754971633445962,0.0958405709772442
1600,"ETO_correct_Direct_Model",0.0717491097364479,0.0278094106679887,"ETO Direct Model","Correct linear",0.0640407343737064,0.0794574850991893
400,"ETO_wrong_Direct_Model",2.51038542451718,0.349362904734811,"ETO Direct Model","Wrong linear",2.41354696793623,2.60722388109812
600,"ETO_wrong_Direct_Model",2.41260321484376,0.316496210101127,"ETO Direct Model","Wrong linear",2.32487494122187,2.50033148846564
800,"ETO_wrong_Direct_Model",2.38193754062968,0.293380157621033,"ETO Direct Model","Wrong linear",2.30061670985328,2.46325837140609
1000,"ETO_wrong_Direct_Model",2.32817079950351,0.332800631491696,"ETO Direct Model","Wrong linear",2.23592317084562,2.4204184281614
1200,"ETO_wrong_Direct_Model",2.31856587395551,0.30038940616919,"ETO Direct Model","Wrong linear",2.23530217860477,2.40182956930626
1400,"ETO_wrong_Direct_Model",2.32748412878276,0.289839595377298,"ETO Direct Model","Wrong linear",2.24714469179048,2.40782356577504
1600,"ETO_wrong_Direct_Model",2.30154646296642,0.269469897075464,"ETO Direct Model","Wrong linear",2.22685321827972,2.37623970765312
