"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.64392486668704,0.278763640304922,"ETO Direct Model","Correct linear",0.56665552780716,0.72119420556692
600,"ETO_correct_Direct_Model",0.401388689795938,0.189546276999459,"ETO Direct Model","Correct linear",0.348849142332466,0.453928237259411
800,"ETO_correct_Direct_Model",0.267756546765146,0.15055096248648,"ETO Direct Model","Correct linear",0.226025949021712,0.30948714450858
1000,"ETO_correct_Direct_Model",0.178708820008083,0.113383234220837,"ETO Direct Model","Correct linear",0.147280590922239,0.210137049093926
1200,"ETO_correct_Direct_Model",0.121438696060869,0.0868709500727417,"ETO Direct Model","Correct linear",0.0973592972101244,0.145518094911614
1400,"ETO_correct_Direct_Model",0.0856688671609202,0.0366963303303254,"ETO Direct Model","Correct linear",0.0754971633445962,0.0958405709772442
1600,"ETO_correct_Direct_Model",0.0717491097364479,0.0278094106679887,"ETO Direct Model","Correct linear",0.0640407343737064,0.0794574850991893
400,"ETO_wrong_Direct_Model",2.1033703101042,0.273720736558798,"ETO Direct Model","Wrong linear",2.02749879282714,2.17924182738127
600,"ETO_wrong_Direct_Model",1.97280539347501,0.256977259931922,"ETO Direct Model","Wrong linear",1.90157493113644,2.04403585581358
800,"ETO_wrong_Direct_Model",1.91896231849143,0.22508170127045,"ETO Direct Model","Wrong linear",1.85657285395401,1.98135178302885
1000,"ETO_wrong_Direct_Model",1.84994484776614,0.264086242005917,"ETO Direct Model","Wrong linear",1.77674387613028,1.923145819402
1200,"ETO_wrong_Direct_Model",1.77572800100594,0.272788067196663,"ETO Direct Model","Wrong linear",1.70011500648646,1.85134099552542
1400,"ETO_wrong_Direct_Model",1.75365473088931,0.250708868502132,"ETO Direct Model","Wrong linear",1.68416177800889,1.82314768376972
1600,"ETO_wrong_Direct_Model",1.70774420896964,0.261806785970269,"ETO Direct Model","Wrong linear",1.63517507031131,1.78031334762797
