"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_ISW_Tree",3.04182743837343,0.416612573490552,2.92634832464308,3.15730655210379
400,"SPO_Wrong_ISW_Tree",3.02647776904432,0.38104180414563,2.92085836954256,3.13209716854608
600,"SPO_Correct_ISW_Tree",3.05773775235227,0.326508574229411,2.96723419298662,3.14824131171791
600,"SPO_Wrong_ISW_Tree",3.0051840165312,0.323830745910117,2.91542271330642,3.09494531975598
800,"SPO_Correct_ISW_Tree",3.02458198815409,0.295434076730792,2.94269184004652,3.10647213626167
800,"SPO_Wrong_ISW_Tree",3.07129423822018,0.349429542981696,2.97443731045959,3.16815116598078
1000,"SPO_Correct_ISW_Tree",2.93157470958009,0.204456780813575,2.87490218132033,2.98824723783985
1000,"SPO_Wrong_ISW_Tree",2.93955880076647,0.277082664033732,2.86275540473697,3.01636219679596
1200,"SPO_Correct_ISW_Tree",2.99681966589292,0.278891934179933,2.91951476576519,3.07412456602065
1200,"SPO_Wrong_ISW_Tree",3.01380990332627,0.282555052496284,2.93548963860424,3.09213016804829
1400,"SPO_Correct_ISW_Tree",2.97665227453584,0.263777424695766,2.90353690269113,3.04976764638055
1400,"SPO_Wrong_ISW_Tree",2.99138792362098,0.307897906237015,2.90604297823495,3.07673286900701
1600,"SPO_Correct_ISW_Tree",2.98600858625737,0.255485309039945,2.91519167160723,3.05682550090752
1600,"SPO_Wrong_ISW_Tree",2.9651328396677,0.290056444466526,2.88473329517452,3.04553238416089
