"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",2.98468030993642,0.324483227539521,"ETO Direct Model","Correct linear",2.89473814803122,3.07462247184162
600,"ETO_correct_Direct_Model",2.92036654852343,0.328761672172634,"ETO Direct Model","Correct linear",2.82923846227073,3.01149463477613
800,"ETO_correct_Direct_Model",2.29759397668085,0.477075205696218,"ETO Direct Model","Correct linear",2.16535547635202,2.42983247700969
1000,"ETO_correct_Direct_Model",1.57494705439181,0.465744752177297,"ETO Direct Model","Correct linear",1.44584919554569,1.70404491323792
1200,"ETO_correct_Direct_Model",1.08844814295372,0.32730704411242,"ETO Direct Model","Correct linear",0.997723259028286,1.17917302687915
1400,"ETO_correct_Direct_Model",0.784561685465102,0.193399184808658,"ETO Direct Model","Correct linear",0.730954166443874,0.83816920448633
1600,"ETO_correct_Direct_Model",0.648379902589234,0.132562053772161,"ETO Direct Model","Correct linear",0.611635575946312,0.685124229232156
400,"ETO_wrong_Direct_Model",3.03545504658791,0.41127405034748,"ETO Direct Model","Wrong linear",2.92145569597662,3.1494543971992
600,"ETO_wrong_Direct_Model",2.9164708542141,0.405799789303304,"ETO Direct Model","Wrong linear",2.80398889134848,3.02895281707971
800,"ETO_wrong_Direct_Model",2.80786447979668,0.310339781969705,"ETO Direct Model","Wrong linear",2.72184268099001,2.89388627860335
1000,"ETO_wrong_Direct_Model",2.79506363136233,0.272999054336788,"ETO Direct Model","Wrong linear",2.71939215419134,2.87073510853332
1200,"ETO_wrong_Direct_Model",2.74864682543282,0.292409699678645,"ETO Direct Model","Wrong linear",2.66759499187404,2.8296986589916
1400,"ETO_wrong_Direct_Model",2.69290065459433,0.267307706278255,"ETO Direct Model","Wrong linear",2.61880673861941,2.76699457056926
1600,"ETO_wrong_Direct_Model",2.65215743711163,0.271817071509159,"ETO Direct Model","Wrong linear",2.57681358886512,2.72750128535814
