"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.64392486668704,0.278763640304922,"ETO Direct Model","Correct linear",0.56665552780716,0.72119420556692
600,"ETO_correct_Direct_Model",0.401388689795938,0.189546276999459,"ETO Direct Model","Correct linear",0.348849142332466,0.453928237259411
800,"ETO_correct_Direct_Model",0.267756546765146,0.15055096248648,"ETO Direct Model","Correct linear",0.226025949021712,0.30948714450858
1000,"ETO_correct_Direct_Model",0.178708820008083,0.113383234220837,"ETO Direct Model","Correct linear",0.147280590922239,0.210137049093926
1200,"ETO_correct_Direct_Model",0.121438696060869,0.0868709500727417,"ETO Direct Model","Correct linear",0.0973592972101244,0.145518094911614
1400,"ETO_correct_Direct_Model",0.0856688671609202,0.0366963303303254,"ETO Direct Model","Correct linear",0.0754971633445962,0.0958405709772442
1600,"ETO_correct_Direct_Model",0.0717491097364479,0.0278094106679887,"ETO Direct Model","Correct linear",0.0640407343737064,0.0794574850991893
400,"ETO_wrong_Direct_Model",3.05159092968991,0.406149540208445,"ETO Direct Model","Wrong linear",2.93901202081949,3.16416983856033
600,"ETO_wrong_Direct_Model",2.76161000416057,0.338045935606175,"ETO Direct Model","Wrong linear",2.66790845138006,2.85531155694109
800,"ETO_wrong_Direct_Model",2.60578748258144,0.372474924243737,"ETO Direct Model","Wrong linear",2.5025427010376,2.70903226412528
1000,"ETO_wrong_Direct_Model",2.5064497027329,0.276704918338047,"ETO Direct Model","Wrong linear",2.42975101246825,2.58314839299754
1200,"ETO_wrong_Direct_Model",2.43350569719802,0.308676357184321,"ETO Direct Model","Wrong linear",2.34794497621808,2.51906641817796
1400,"ETO_wrong_Direct_Model",2.41772070894056,0.263072691386506,"ETO Direct Model","Wrong linear",2.344800679203,2.49064073867812
1600,"ETO_wrong_Direct_Model",2.37506098049112,0.271107124594941,"ETO Direct Model","Wrong linear",2.29991391948933,2.45020804149292
