"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDM",2.98697839861595,0.350209162404951,2.88990537137643,3.08405142585547
400,"SPO_Wrong_CDM",2.98836142655882,0.365319481425495,2.88710003257354,3.08962282054411
600,"SPO_Correct_CDM",2.9802332855693,0.371325069402117,2.87730722752657,3.08315934361203
600,"SPO_Wrong_CDM",3.00535742843285,0.363645156213377,2.90456013371844,3.10615472314727
800,"SPO_Correct_CDM",2.47374295680103,0.519651443099,2.32970292556771,2.61778298803436
800,"SPO_Wrong_CDM",2.52544667982324,0.542774256146629,2.37499733181073,2.67589602783575
1000,"SPO_Correct_CDM",1.77279573361693,0.495336561507361,1.63549544370523,1.91009602352863
1000,"SPO_Wrong_CDM",1.86142224326614,0.507221420322921,1.72082763856376,2.00201684796851
1200,"SPO_Correct_CDM",1.28335253946603,0.368590885876829,1.1811843584303,1.38552072050176
1200,"SPO_Wrong_CDM",1.37999679068567,0.371526850073278,1.27701480189443,1.48297877947691
1400,"SPO_Correct_CDM",0.98272993214427,0.255889296192801,0.911801037968445,1.0536588263201
1400,"SPO_Wrong_CDM",1.10944904007504,0.239392613921508,1.04309279293245,1.17580528721763
1600,"SPO_Correct_CDM",0.818693399510196,0.180016126807014,0.768795474906831,0.868591324113562
1600,"SPO_Wrong_CDM",0.978249517725901,0.175234990783226,0.929676856414581,1.02682217903722
400,"SPO_Correct_Wrong_CDM",3.10289099316418,0.429748697273574,2.98377073168927,3.22201125463909
400,"SPO_Wrong_Wrong_CDM",3.1002013789941,0.417856679379146,2.98437741670529,3.21602534128291
600,"SPO_Correct_Wrong_CDM",2.81230635062107,0.361645181746985,2.71206342054555,2.91254928069659
600,"SPO_Wrong_Wrong_CDM",2.81223433491931,0.385240918023523,2.70545100043353,2.9190176694051
800,"SPO_Correct_Wrong_CDM",2.69388140816515,0.41648967543755,2.57843636003709,2.80932645629322
800,"SPO_Wrong_Wrong_CDM",2.70716719348955,0.415114121230723,2.59210342953484,2.82223095744425
1000,"SPO_Correct_Wrong_CDM",2.60883910849623,0.337428404100272,2.51530872671616,2.7023694902763
1000,"SPO_Wrong_Wrong_CDM",2.6420757504927,0.330502390938868,2.55046516161485,2.73368633937055
1200,"SPO_Correct_Wrong_CDM",2.52749023294512,0.365749960627106,2.42610951621289,2.62887094967735
1200,"SPO_Wrong_Wrong_CDM",2.54389453392796,0.3531823828786,2.44599737201976,2.64179169583616
1400,"SPO_Correct_Wrong_CDM",2.5263839981746,0.282791841560713,2.44799809887253,2.60476989747667
1400,"SPO_Wrong_Wrong_CDM",2.55323868902994,0.29160545482567,2.47240978077096,2.63406759728892
1600,"SPO_Correct_Wrong_CDM",2.52046728360022,0.358538286597752,2.42108554092306,2.61984902627739
1600,"SPO_Wrong_Wrong_CDM",2.53366385983526,0.369582671614754,2.43122076981859,2.63610694985193
