"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDR",2.98363785212745,0.359057450854646,2.88411220446018,3.08316349979472
400,"SPO_Wrong_CDR",3.04013178905571,0.349477237878361,2.94326164094425,3.13700193716717
600,"SPO_Correct_CDR",2.9702144019393,0.374205095212476,2.86649004147061,3.07393876240798
600,"SPO_Wrong_CDR",3.03230635534643,0.363481847836685,2.93155432740457,3.1330583832883
800,"SPO_Correct_CDR",2.53003538492315,0.491542912862223,2.39378664076696,2.66628412907934
800,"SPO_Wrong_CDR",2.68155693835576,0.481562439992827,2.54807464013736,2.81503923657416
1000,"SPO_Correct_CDR",1.8309339719605,0.496642335107575,1.69327174007278,1.96859620384823
1000,"SPO_Wrong_CDR",2.04194087859965,0.477700566469686,1.90952903710812,2.17435272009118
1200,"SPO_Correct_CDR",1.36092692957439,0.368757093064089,1.25871267825682,1.46314118089196
1200,"SPO_Wrong_CDR",1.59289906313727,0.406470844687157,1.48023109320917,1.70556703306537
1400,"SPO_Correct_CDR",1.06887723241438,0.263254025766955,0.995906939350943,1.14184752547781
1400,"SPO_Wrong_CDR",1.37573281095232,0.224840960099707,1.31341007646292,1.43805554544172
1600,"SPO_Correct_CDR",0.929788734081651,0.207804483364574,0.872188270017212,0.987389198146089
1600,"SPO_Wrong_CDR",1.2799861439079,0.208548617923831,1.22217941626701,1.33779287154878
400,"SPO_Correct_Wrong_CDR",3.05720859942414,0.382144337280718,2.95128359332911,3.16313360551916
400,"SPO_Wrong_Wrong_CDR",3.06315658039857,0.348390372659871,2.96658769595547,3.15972546484166
600,"SPO_Correct_Wrong_CDR",3.00718695785531,0.377632409660154,2.90251259429004,3.11186132142058
600,"SPO_Wrong_Wrong_CDR",2.99965817817911,0.389463988752643,2.89170426820893,3.10761208814929
800,"SPO_Correct_Wrong_CDR",2.97520273365179,0.260676834212175,2.90294680164128,3.0474586656623
800,"SPO_Wrong_Wrong_CDR",2.96399898086618,0.303099277032015,2.87998414763465,3.04801381409772
1000,"SPO_Correct_Wrong_CDR",2.96148928375173,0.256881596285147,2.89028533802319,3.03269322948027
1000,"SPO_Wrong_Wrong_CDR",2.95769892985321,0.272358590652147,2.88220498015831,3.03319287954812
1200,"SPO_Correct_Wrong_CDR",2.90113646947643,0.285520420059563,2.82199424680143,2.98027869215144
1200,"SPO_Wrong_Wrong_CDR",2.87508586272153,0.324740345995123,2.78507243121655,2.96509929422651
1400,"SPO_Correct_Wrong_CDR",2.82504956123003,0.309209052899382,2.73934118453113,2.91075793792892
1400,"SPO_Wrong_Wrong_CDR",2.79795721625296,0.297716102779811,2.7154345227965,2.88047990970942
1600,"SPO_Correct_Wrong_CDR",2.86049315367114,0.286892074012197,2.78097072791808,2.9400155794242
1600,"SPO_Wrong_Wrong_CDR",2.79978950187104,0.32801562273947,2.70886820997075,2.89071079377133
