"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDR",2.98492092227687,0.358783270929113,2.88547127340757,3.08437057114618
400,"SPO_Wrong_CDR",2.99362095998394,0.372593962260415,2.89034318278529,3.0968987371826
600,"SPO_Correct_CDR",2.97996445282873,0.357244395533489,2.88094135845667,3.0789875472008
600,"SPO_Wrong_CDR",2.99446249780916,0.353063921099701,2.89659817183081,3.09232682378751
800,"SPO_Correct_CDR",2.51880807307625,0.47273496282453,2.38777262669271,2.64984351945979
800,"SPO_Wrong_CDR",2.5782876827359,0.52399443910861,2.43304383442638,2.72353153104541
1000,"SPO_Correct_CDR",1.84387229151964,0.501031711182751,1.70499338665745,1.98275119638184
1000,"SPO_Wrong_CDR",1.9479455740754,0.508251996362717,1.80706530826896,2.08882583988183
1200,"SPO_Correct_CDR",1.36147937525909,0.396699506872602,1.25151988198913,1.47143886852906
1200,"SPO_Wrong_CDR",1.48655625567476,0.375404774211092,1.38249936115325,1.59061315019628
1400,"SPO_Correct_CDR",1.08979388796269,0.271415721303569,1.01456128831736,1.16502648760801
1400,"SPO_Wrong_CDR",1.2190606273058,0.261790579971197,1.14649598072123,1.29162527389037
1600,"SPO_Correct_CDR",0.9292921374474,0.198726202729741,0.874208044391936,0.984376230502863
1600,"SPO_Wrong_CDR",1.12027822017486,0.208236887334787,1.06255789984484,1.17799854050488
400,"SPO_Correct_Wrong_CDR",3.08385674429666,0.429545164186102,2.96479289931528,3.20292058927804
400,"SPO_Wrong_Wrong_CDR",3.07818344380795,0.433474626298862,2.95803040749849,3.19833648011742
600,"SPO_Correct_Wrong_CDR",2.81479536425784,0.349187488818232,2.71800553048828,2.91158519802739
600,"SPO_Wrong_Wrong_CDR",2.81416903684252,0.354266586606741,2.71597134899344,2.91236672469159
800,"SPO_Correct_Wrong_CDR",2.73348875950713,0.416297720905574,2.61809691846075,2.8488806005535
800,"SPO_Wrong_Wrong_CDR",2.71186439774732,0.412209965459855,2.59760562470238,2.82612317079226
1000,"SPO_Correct_Wrong_CDR",2.66778190375605,0.320423773038999,2.5789649652305,2.75659884228159
1000,"SPO_Wrong_Wrong_CDR",2.66746358475336,0.353421613418098,2.56950011152276,2.76542705798397
1200,"SPO_Correct_Wrong_CDR",2.56047381882015,0.354995122305958,2.46207419117804,2.65887344646226
1200,"SPO_Wrong_Wrong_CDR",2.57610668567248,0.34312684068175,2.48099677785803,2.67121659348692
1400,"SPO_Correct_Wrong_CDR",2.57356007652162,0.316478010015957,2.48583684770597,2.66128330533728
1400,"SPO_Wrong_Wrong_CDR",2.57296526972741,0.297753840650449,2.49043211586689,2.65549842358793
1600,"SPO_Correct_Wrong_CDR",2.55900272695479,0.347637448560307,2.46264254242441,2.65536291148518
1600,"SPO_Wrong_Wrong_CDR",2.5601149919268,0.346018545468856,2.4642035444392,2.65602643941439
