"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",2.4913334090258,0.343234997932686,"SPO Direct Model","Correct linear",2.39619352155093,2.58647329650067
400,"SPO_wrong_Direct_Model",2.49360600530876,0.340282006824442,"SPO Direct Model","Wrong linear",2.39928464520856,2.58792736540896
600,"SPO_correct_Direct_Model",2.41112187261555,0.372182993429769,"SPO Direct Model","Correct linear",2.30795801016493,2.51428573506618
600,"SPO_wrong_Direct_Model",2.37423065589263,0.372893934050986,"SPO Direct Model","Wrong linear",2.27086973075577,2.4775915810295
800,"SPO_correct_Direct_Model",2.31449786476916,0.394286158763646,"SPO Direct Model","Correct linear",2.20520731746597,2.42378841207235
800,"SPO_wrong_Direct_Model",2.30792604724118,0.363976431389043,"SPO Direct Model","Wrong linear",2.20703692773289,2.40881516674947
1000,"SPO_correct_Direct_Model",2.31314125672942,0.342329978381289,"SPO Direct Model","Correct linear",2.21825222787561,2.40803028558323
1000,"SPO_wrong_Direct_Model",2.31152367536364,0.348998385809296,"SPO Direct Model","Wrong linear",2.21478625827391,2.40826109245338
1200,"SPO_correct_Direct_Model",2.24601520407439,0.331802984425478,"SPO Direct Model","Correct linear",2.15404410907475,2.33798629907402
1200,"SPO_wrong_Direct_Model",2.24856774244976,0.347207171681647,"SPO Direct Model","Wrong linear",2.15232682458526,2.34480866031425
1400,"SPO_correct_Direct_Model",2.22583905615281,0.287825864047729,"SPO Direct Model","Correct linear",2.14605779700735,2.30562031529826
1400,"SPO_wrong_Direct_Model",2.22506984573767,0.2748467697193,"SPO Direct Model","Wrong linear",2.14888620799262,2.30125348348271
1600,"SPO_correct_Direct_Model",2.20260338740446,0.301157675271235,"SPO Direct Model","Correct linear",2.11912673872332,2.2860800360856
1600,"SPO_wrong_Direct_Model",2.19883395398761,0.297803711344255,"SPO Direct Model","Wrong linear",2.11628697667602,2.28138093129919
400,"SPO_correct_Double_Robust",2.48606427770946,0.365935900906364,"SPO Double Robust Sample Sigma","Correct linear",2.38463202096135,2.58749653445758
400,"SPO_wrong_Double_Robust",2.46038568395513,0.350527731294912,"SPO Double Robust Sample Sigma","Wrong linear",2.36322435392445,2.55754701398582
600,"SPO_correct_Double_Robust",2.3948787759724,0.31168195318373,"SPO Double Robust Sample Sigma","Correct linear",2.30848494628589,2.48127260565892
600,"SPO_wrong_Double_Robust",2.32092932775374,0.293380104356798,"SPO Double Robust Sample Sigma","Wrong linear",2.23960851174142,2.40225014376605
800,"SPO_correct_Double_Robust",2.35131556247359,0.25530200867231,"SPO Double Robust Sample Sigma","Correct linear",2.28054945609315,2.42208166885402
800,"SPO_wrong_Double_Robust",2.26192284394112,0.295854503913851,"SPO Double Robust Sample Sigma","Wrong linear",2.17991615936399,2.34392952851825
1000,"SPO_correct_Double_Robust",2.37206389554748,0.336310073441856,"SPO Double Robust Sample Sigma","Correct linear",2.27884349921074,2.46528429188421
1000,"SPO_wrong_Double_Robust",2.26244816500702,0.365991258932976,"SPO Double Robust Sample Sigma","Wrong linear",2.16100056379679,2.36389576621725
1200,"SPO_correct_Double_Robust",2.32774886195843,0.280442853612889,"SPO Double Robust Sample Sigma","Correct linear",2.25001406889663,2.40548365502022
1200,"SPO_wrong_Double_Robust",2.19757532056577,0.3130610096653,"SPO Double Robust Sample Sigma","Wrong linear",2.11079923592486,2.28435140520667
1400,"SPO_correct_Double_Robust",2.31799761162941,0.264018419455388,"SPO Double Robust Sample Sigma","Correct linear",2.24481543944543,2.39117978381339
1400,"SPO_wrong_Double_Robust",2.21034158460672,0.298173559716622,"SPO Double Robust Sample Sigma","Wrong linear",2.12769209055662,2.29299107865681
1600,"SPO_correct_Double_Robust",2.31067759640613,0.204727276923585,"SPO Double Robust Sample Sigma","Correct linear",2.25393009044998,2.36742510236229
1600,"SPO_wrong_Double_Robust",2.17122368615638,0.264176384619738,"SPO Double Robust Sample Sigma","Wrong linear",2.09799772826275,2.24444964405002
400,"SPO_correct_Lambda_Double_Robust",2.48810022672591,0.334322626817734,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.39543072248736,2.58076973096446
400,"SPO_wrong_Lambda_Double_Robust",2.48483301452456,0.312869593448736,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.39810998775193,2.5715560412972
600,"SPO_correct_Lambda_Double_Robust",2.35016150001305,0.301933040366352,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.26646993109258,2.43385306893352
600,"SPO_wrong_Lambda_Double_Robust",2.33033378001412,0.323583136181685,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.24064111070443,2.42002644932382
800,"SPO_correct_Lambda_Double_Robust",2.27161234356147,0.314878672200201,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.18433242857087,2.35889225855207
800,"SPO_wrong_Lambda_Double_Robust",2.2542487146487,0.323834653621975,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.16448632826146,2.34401110103595
1000,"SPO_correct_Lambda_Double_Robust",2.29865747853621,0.342681931057445,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.20367089337781,2.39364406369461
1000,"SPO_wrong_Lambda_Double_Robust",2.26810268903169,0.32639342584519,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.17763104716975,2.35857433089363
1200,"SPO_correct_Lambda_Double_Robust",2.28165169850564,0.317300574997145,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.19370046630973,2.36960293070155
1200,"SPO_wrong_Lambda_Double_Robust",2.21166358308597,0.300056238379295,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.128492237135,2.29483492903693
1400,"SPO_correct_Lambda_Double_Robust",2.24121025214736,0.238192957978311,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.17518653266696,2.30723397162776
1400,"SPO_wrong_Lambda_Double_Robust",2.19238411222965,0.259533623717585,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.12044506200121,2.26432316245808
1600,"SPO_correct_Lambda_Double_Robust",2.16700639450301,0.259185181715118,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.09516392747007,2.23884886153595
1600,"SPO_wrong_Lambda_Double_Robust",2.17665142839317,0.272633288113056,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.10108133644681,2.25222152033952
400,"SPO_correct_Clip_Double_Robust",2.44568273483405,0.303618139312942,"SPO Clip Double Robust","Correct linear",2.36152408031587,2.52984138935222
400,"SPO_wrong_Clip_Double_Robust",2.48508646882306,0.339895948743538,"SPO Clip Double Robust","Wrong linear",2.39087211856333,2.57930081908278
600,"SPO_correct_Clip_Double_Robust",2.32272862188056,0.320698192798016,"SPO Clip Double Robust","Correct linear",2.23383561807859,2.41162162568252
600,"SPO_wrong_Clip_Double_Robust",2.31533020696329,0.330380918401651,"SPO Clip Double Robust","Wrong linear",2.22375328855492,2.40690712537166
800,"SPO_correct_Clip_Double_Robust",2.26219054778694,0.300954818305604,"SPO Clip Double Robust","Correct linear",2.17877012818791,2.34561096738596
800,"SPO_wrong_Clip_Double_Robust",2.24014568078025,0.319101950173045,"SPO Clip Double Robust","Wrong linear",2.15169513286022,2.32859622870028
1000,"SPO_correct_Clip_Double_Robust",2.28476172640561,0.357632258980379,"SPO Clip Double Robust","Correct linear",2.18563112177115,2.38389233104008
1000,"SPO_wrong_Clip_Double_Robust",2.24268147951224,0.356018696763902,"SPO Clip Double Robust","Wrong linear",2.14399813150555,2.34136482751894
