"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.457919303856508,0.209620690351568,"SPO Direct Model","Correct linear",0.399815412899665,0.516023194813351
400,"SPO_wrong_Direct_Model",0.901072589164423,0.235122851169413,"SPO Direct Model","Wrong linear",0.835899859874691,0.966245318454155
600,"SPO_correct_Direct_Model",0.249202665957473,0.125003960837417,"SPO Direct Model","Correct linear",0.214553335791213,0.283851996123732
600,"SPO_wrong_Direct_Model",0.699786930370806,0.151066678901954,"SPO Direct Model","Wrong linear",0.657913383330148,0.741660477411464
800,"SPO_correct_Direct_Model",0.137574957051113,0.0768096299422508,"SPO Direct Model","Correct linear",0.116284413855616,0.15886550024661
800,"SPO_wrong_Direct_Model",0.571512190776962,0.106098468844192,"SPO Direct Model","Wrong linear",0.542103195634012,0.600921185919911
1000,"SPO_correct_Direct_Model",0.0901596724963856,0.0546358234173911,"SPO Direct Model","Correct linear",0.0750153948925995,0.105303950100172
1000,"SPO_wrong_Direct_Model",0.535192719955433,0.0907445263895867,"SPO Direct Model","Wrong linear",0.510039620528903,0.560345819381963
1200,"SPO_correct_Direct_Model",0.0666834151250859,0.0327409754647128,"SPO Direct Model","Correct linear",0.0576080797417716,0.0757587505084001
1200,"SPO_wrong_Direct_Model",0.495530957899585,0.0621775369121647,"SPO Direct Model","Wrong linear",0.478296223968262,0.512765691830908
1400,"SPO_correct_Direct_Model",0.0493171684830923,0.0161165425585432,"SPO Direct Model","Correct linear",0.0448498908023807,0.0537844461638038
1400,"SPO_wrong_Direct_Model",0.48038155997852,0.0483557622237107,"SPO Direct Model","Wrong linear",0.466978026526411,0.49378509343063
1600,"SPO_correct_Direct_Model",0.0398973275406922,0.0127319633485169,"SPO Direct Model","Correct linear",0.0363682073530427,0.0434264477283418
1600,"SPO_wrong_Direct_Model",0.468516612978912,0.0412854644479865,"SPO Direct Model","Wrong linear",0.457072866083674,0.47996035987415
400,"SPO_correct_Double_Robust",0.518930765631891,0.195064331496192,"SPO Double Robust tree Sigma","Correct linear",0.464861691497008,0.572999839766773
400,"SPO_wrong_Double_Robust",1.09912632538398,0.23564550990308,"SPO Double Robust tree Sigma","Wrong linear",1.03380872248459,1.16444392828336
600,"SPO_correct_Double_Robust",0.297228941478391,0.112639547306111,"SPO Double Robust tree Sigma","Correct linear",0.266006851888256,0.328451031068525
600,"SPO_wrong_Double_Robust",0.905209700941829,0.150942394399135,"SPO Double Robust tree Sigma","Wrong linear",0.86337060380775,0.947048798075909
800,"SPO_correct_Double_Robust",0.207759971028027,0.0937346718967392,"SPO Double Robust tree Sigma","Correct linear",0.181778045552879,0.233741896503175
800,"SPO_wrong_Double_Robust",0.770504576001394,0.14853827269615,"SPO Double Robust tree Sigma","Wrong linear",0.729331867404834,0.811677284597954
1000,"SPO_correct_Double_Robust",0.149768639895643,0.0616165273022842,"SPO Double Robust tree Sigma","Correct linear",0.132689409894508,0.166847869896779
1000,"SPO_wrong_Double_Robust",0.700978656408738,0.118861675706105,"SPO Double Robust tree Sigma","Wrong linear",0.668031880818064,0.733925431999411
1200,"SPO_correct_Double_Robust",0.124377881855519,0.0422750895403387,"SPO Double Robust tree Sigma","Correct linear",0.112659824879736,0.136095938831302
1200,"SPO_wrong_Double_Robust",0.680398942234385,0.108442844496698,"SPO Double Robust tree Sigma","Wrong linear",0.650340119314194,0.710457765154576
1400,"SPO_correct_Double_Robust",0.0963943385793243,0.0312152622015962,"SPO Double Robust tree Sigma","Correct linear",0.0877419093362525,0.105046767822396
1400,"SPO_wrong_Double_Robust",0.65465522156106,0.0797518803465468,"SPO Double Robust tree Sigma","Wrong linear",0.632549128162135,0.676761314959985
1600,"SPO_correct_Double_Robust",0.0929749983713574,0.0305149364546248,"SPO Double Robust tree Sigma","Correct linear",0.084516689521497,0.101433307221218
1600,"SPO_wrong_Double_Robust",0.635417676690864,0.07780423496754,"SPO Double Robust tree Sigma","Wrong linear",0.613851443047837,0.656983910333891
400,"SPO_correct_Lambda_Double_Robust",0.43479979101808,0.202390943921815,"SPO Lambda Double Robust tree Sigma","Correct linear",0.378699883530119,0.490899698506042
400,"SPO_wrong_Lambda_Double_Robust",0.939929784010625,0.220026721096152,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.878941488491128,1.00091807953012
600,"SPO_correct_Lambda_Double_Robust",0.241095537535299,0.114818356556049,"SPO Lambda Double Robust tree Sigma","Correct linear",0.209269512833312,0.272921562237286
600,"SPO_wrong_Lambda_Double_Robust",0.746804490757066,0.150235027009147,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.705161465860061,0.788447515654072
800,"SPO_correct_Lambda_Double_Robust",0.139391590932145,0.0759166933938445,"SPO Lambda Double Robust tree Sigma","Correct linear",0.118348557120159,0.160434624744132
800,"SPO_wrong_Lambda_Double_Robust",0.628692612538608,0.107298342129819,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.598951029489221,0.658434195587995
1000,"SPO_correct_Lambda_Double_Robust",0.0952739080732993,0.0475890659264973,"SPO Lambda Double Robust tree Sigma","Correct linear",0.082082891992331,0.108464924154268
1000,"SPO_wrong_Lambda_Double_Robust",0.581126648803252,0.0986723036170358,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.553776081642113,0.60847721596439
1200,"SPO_correct_Lambda_Double_Robust",0.0729770345830742,0.032587485854131,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0639442443491977,0.0820098248169506
1200,"SPO_wrong_Lambda_Double_Robust",0.555389336811496,0.0682155648023051,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.536480946937458,0.574297726685535
1400,"SPO_correct_Lambda_Double_Robust",0.0551434742877145,0.0191374021199253,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0498388570569036,0.0604480915185253
1400,"SPO_wrong_Lambda_Double_Robust",0.539408990464647,0.0607013864433868,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.522583424567882,0.556234556361412
1600,"SPO_correct_Lambda_Double_Robust",0.0446283701185218,0.0100539942892481,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0418415450828661,0.0474151951541776
1600,"SPO_wrong_Lambda_Double_Robust",0.520696305459596,0.0534521764369702,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.505880118059914,0.535512492859279
400,"SPO_correct_Clip_Double_Robust",0.452788163070362,0.207136045832492,"SPO Clip tree Double Robust","Correct linear",0.395372980436923,0.5102033457038
400,"SPO_wrong_Clip_Double_Robust",0.974893899612175,0.223124223216882,"SPO Clip tree Double Robust","Wrong linear",0.913047020308989,1.03674077891536
600,"SPO_correct_Clip_Double_Robust",0.252414545484322,0.119441436780562,"SPO Clip tree Double Robust","Correct linear",0.21930706832266,0.285522022645984
