"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",1.83341821497707,0.261244726640434,"SPO Direct Model","Correct linear",1.76100487121646,1.90583155873769
400,"SPO_wrong_Direct_Model",1.82563417636012,0.257901628213888,"SPO Direct Model","Wrong linear",1.75414749220599,1.89712086051424
600,"SPO_correct_Direct_Model",1.76779277283422,0.290737330095002,"SPO Direct Model","Correct linear",1.68720449647376,1.84838104919469
600,"SPO_wrong_Direct_Model",1.76062449342731,0.288864621690078,"SPO Direct Model","Wrong linear",1.68055530535327,1.84069368150135
800,"SPO_correct_Direct_Model",1.65872874665069,0.268601595630239,"SPO Direct Model","Correct linear",1.58427618284528,1.7331813104561
800,"SPO_wrong_Direct_Model",1.6583795798961,0.270661996768297,"SPO Direct Model","Wrong linear",1.58335590203296,1.73340325775925
1000,"SPO_correct_Direct_Model",1.64913867114629,0.323148486746716,"SPO Direct Model","Correct linear",1.55956648051325,1.73871086177933
1000,"SPO_wrong_Direct_Model",1.63533395340445,0.3201588376387,"SPO Direct Model","Wrong linear",1.54659045122521,1.72407745558369
1200,"SPO_correct_Direct_Model",1.61701704638204,0.344336957327462,"SPO Direct Model","Correct linear",1.5215717113466,1.71246238141748
1200,"SPO_wrong_Direct_Model",1.62713613313874,0.3331734729764,"SPO Direct Model","Wrong linear",1.53478515809393,1.71948710818355
1400,"SPO_correct_Direct_Model",1.54438423392869,0.294527318184739,"SPO Direct Model","Correct linear",1.46274542646691,1.62602304139047
1400,"SPO_wrong_Direct_Model",1.52738847651029,0.299795432790736,"SPO Direct Model","Wrong linear",1.44428942218021,1.61048753084036
1600,"SPO_correct_Direct_Model",1.48431984933748,0.268978133010386,"SPO Direct Model","Correct linear",1.4097629146952,1.55887678397975
1600,"SPO_wrong_Direct_Model",1.47921350732029,0.259229700757628,"SPO Direct Model","Wrong linear",1.40735870023834,1.55106831440224
400,"SPO_correct_Double_Robust",1.71828754058892,0.285384963389902,"SPO Double Robust Sample Sigma","Correct linear",1.63918286458714,1.79739221659069
400,"SPO_wrong_Double_Robust",1.68533322849975,0.291052801947278,"SPO Double Robust Sample Sigma","Wrong linear",1.60465750780316,1.76600894919633
600,"SPO_correct_Double_Robust",1.59802614212364,0.243377475719619,"SPO Double Robust Sample Sigma","Correct linear",1.53056534764363,1.66548693660365
600,"SPO_wrong_Double_Robust",1.52734053160714,0.270536680603025,"SPO Double Robust Sample Sigma","Wrong linear",1.45235158961282,1.60232947360147
800,"SPO_correct_Double_Robust",1.52080073291733,0.226646477675478,"SPO Double Robust Sample Sigma","Correct linear",1.45797753448915,1.58362393134551
800,"SPO_wrong_Double_Robust",1.50681677073662,0.253413746583492,"SPO Double Robust Sample Sigma","Wrong linear",1.43657406390383,1.57705947756941
1000,"SPO_correct_Double_Robust",1.45525586770396,0.255027481245602,"SPO Double Robust Sample Sigma","Correct linear",1.38456585644391,1.52594587896402
1000,"SPO_wrong_Double_Robust",1.38968503576534,0.300237694186575,"SPO Double Robust Sample Sigma","Wrong linear",1.3064633928307,1.47290667869998
1200,"SPO_correct_Double_Robust",1.44659110740741,0.258976089577948,"SPO Double Robust Sample Sigma","Correct linear",1.37480659775796,1.51837561705686
1200,"SPO_wrong_Double_Robust",1.36854635352125,0.232249432508999,"SPO Double Robust Sample Sigma","Wrong linear",1.30417009524894,1.43292261179355
1400,"SPO_correct_Double_Robust",1.37760308215588,0.242570978121124,"SPO Double Robust Sample Sigma","Correct linear",1.31036583740487,1.44484032690689
1400,"SPO_wrong_Double_Robust",1.2814291769595,0.215000813477607,"SPO Double Robust Sample Sigma","Wrong linear",1.22183399195661,1.34102436196239
1600,"SPO_correct_Double_Robust",1.35911280143608,0.215158059358955,"SPO Double Robust Sample Sigma","Correct linear",1.29947403009861,1.41875157277354
1600,"SPO_wrong_Double_Robust",1.25927294775248,0.222920156528231,"SPO Double Robust Sample Sigma","Wrong linear",1.19748263284952,1.32106326265544
400,"SPO_correct_Lambda_Double_Robust",1.7280318090814,0.28851335647523,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.64805998675741,1.8080036314054
400,"SPO_wrong_Lambda_Double_Robust",1.71837071780808,0.267743356687834,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.64415604570049,1.79258538991568
600,"SPO_correct_Lambda_Double_Robust",1.60041748461072,0.264854791016267,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.52700348205784,1.6738314871636
600,"SPO_wrong_Lambda_Double_Robust",1.60855444902388,0.244430328814444,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.5408018185552,1.67630707949256
800,"SPO_correct_Lambda_Double_Robust",1.54981695723548,0.254870505032338,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.47917045756182,1.62046345690914
800,"SPO_wrong_Lambda_Double_Robust",1.52833768390055,0.261299483220143,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.45590916239039,1.60076620541071
1000,"SPO_correct_Lambda_Double_Robust",1.49029092609194,0.301898372077265,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.40660896673093,1.57397288545294
1000,"SPO_wrong_Lambda_Double_Robust",1.49041749924561,0.303344823554001,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.40633460399065,1.57450039450058
1200,"SPO_correct_Lambda_Double_Robust",1.46898364939377,0.291548957216652,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.38817040147303,1.54979689731451
1200,"SPO_wrong_Lambda_Double_Robust",1.45224358456378,0.275833257302839,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.37578650641126,1.5287006627163
1400,"SPO_correct_Lambda_Double_Robust",1.4190287455042,0.268126775460144,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.34470779513514,1.49334969587326
1400,"SPO_wrong_Lambda_Double_Robust",1.38632672549282,0.250628847321683,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.31685595335198,1.45579749763365
1600,"SPO_correct_Lambda_Double_Robust",1.37670305753208,0.228327899029217,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.31341379288293,1.43999232218124
1600,"SPO_wrong_Lambda_Double_Robust",1.37369826113625,0.214669411756087,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.31419493600396,1.43320158626855
400,"SPO_correct_Clip_Double_Robust",1.70979003221329,0.294374208600523,"SPO Clip Double Robust","Correct linear",1.62819366456301,1.79138639986357
400,"SPO_wrong_Clip_Double_Robust",1.68884315809756,0.279574720279738,"SPO Clip Double Robust","Wrong linear",1.61134899931877,1.76633731687635
600,"SPO_correct_Clip_Double_Robust",1.5885131372654,0.253023147150551,"SPO Clip Double Robust","Correct linear",1.51837869907165,1.65864757545915
600,"SPO_wrong_Clip_Double_Robust",1.56447619403061,0.236117195136426,"SPO Clip Double Robust","Wrong linear",1.49902784665501,1.62992454140621
800,"SPO_correct_Clip_Double_Robust",1.47428184247828,0.251163711656763,"SPO Clip Double Robust","Correct linear",1.40466281350769,1.54390087144887
800,"SPO_wrong_Clip_Double_Robust",1.49334960848346,0.228679643192351,"SPO Clip Double Robust","Wrong linear",1.42996284532657,1.55673637164035
1000,"SPO_correct_Clip_Double_Robust",1.46936355118288,0.292159905849003,"SPO Clip Double Robust","Correct linear",1.38838095694116,1.55034614542461
1000,"SPO_wrong_Clip_Double_Robust",1.45020012370472,0.300799632925495,"SPO Clip Double Robust","Wrong linear",1.36682271929846,1.53357752811098
1200,"SPO_correct_Clip_Double_Robust",1.43088440389444,0.296788064247292,"SPO Clip Double Robust","Correct linear",1.34861894959508,1.5131498581938
1200,"SPO_wrong_Clip_Double_Robust",1.42806795936661,0.28433003975399,"SPO Clip Double Robust","Wrong linear",1.34925569327822,1.506880225455
1400,"SPO_correct_Clip_Double_Robust",1.36687089877459,0.256628384404757,"SPO Clip Double Robust","Correct linear",1.29573713979843,1.43800465775075
1400,"SPO_wrong_Clip_Double_Robust",1.35349791796691,0.246157824883374,"SPO Clip Double Robust","Wrong linear",1.28526645001778,1.42172938591604
1600,"SPO_correct_Clip_Double_Robust",1.32948793221125,0.218701440366939,"SPO Clip Double Robust","Correct linear",1.26886698576807,1.39010887865443
1600,"SPO_wrong_Clip_Double_Robust",1.33868731617146,0.2139016362312,"SPO Clip Double Robust","Wrong linear",1.27939680755695,1.39797782478596
