"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.459879968682083,0.204869305675897,"SPO Direct Model","Correct linear",0.403093094364324,0.516666842999842
400,"SPO_wrong_Direct_Model",0.607543461171295,0.209141972847505,"SPO Direct Model","Wrong linear",0.549572263936663,0.665514658405927
600,"SPO_correct_Direct_Model",0.249570844739232,0.119841311138513,"SPO Direct Model","Correct linear",0.216352528060479,0.282789161417985
600,"SPO_wrong_Direct_Model",0.388942484101231,0.11873400976777,"SPO Direct Model","Wrong linear",0.356031095703241,0.421853872499221
800,"SPO_correct_Direct_Model",0.136875141833678,0.0759277700877796,"SPO Direct Model","Correct linear",0.115829037718777,0.157921245948579
800,"SPO_wrong_Direct_Model",0.275453993464943,0.0779382019790101,"SPO Direct Model","Wrong linear",0.253850626060868,0.297057360869018
1000,"SPO_correct_Direct_Model",0.0907207110880257,0.0493982685535807,"SPO Direct Model","Correct linear",0.0770282096241662,0.104413212551885
1000,"SPO_wrong_Direct_Model",0.230555917585895,0.0545583098394019,"SPO Direct Model","Wrong linear",0.215433125649748,0.245678709522042
1200,"SPO_correct_Direct_Model",0.0646157527717631,0.0309424538390384,"SPO Direct Model","Correct linear",0.0560389421487979,0.0731925633947283
1200,"SPO_wrong_Direct_Model",0.202639611195242,0.0401991352801273,"SPO Direct Model","Wrong linear",0.191496979382711,0.213782243007772
1400,"SPO_correct_Direct_Model",0.0502601014954223,0.0189156747213613,"SPO Direct Model","Correct linear",0.0450169439638744,0.0555032590269702
1400,"SPO_wrong_Direct_Model",0.187685169421298,0.0296718514156223,"SPO Direct Model","Wrong linear",0.179460551821531,0.195909787021066
1600,"SPO_correct_Direct_Model",0.0403431979867478,0.0120035499080616,"SPO Direct Model","Correct linear",0.0370159837037336,0.043670412269762
1600,"SPO_wrong_Direct_Model",0.173665157185813,0.0217827434492848,"SPO Direct Model","Wrong linear",0.167627288748325,0.1797030256233
400,"SPO_correct_Double_Robust",0.5338127398714,0.195569049120464,"SPO Double Robust tree Sigma","Correct linear",0.479603765148672,0.588021714594127
400,"SPO_wrong_Double_Robust",0.740026283398513,0.207846260832615,"SPO Double Robust tree Sigma","Wrong linear",0.682414239210741,0.797638327586285
600,"SPO_correct_Double_Robust",0.326612469186697,0.121159354002878,"SPO Double Robust tree Sigma","Correct linear",0.293028809665407,0.360196128707986
600,"SPO_wrong_Double_Robust",0.537931256652303,0.127688249645171,"SPO Double Robust tree Sigma","Wrong linear",0.502537879589142,0.573324633715463
800,"SPO_correct_Double_Robust",0.202748449727564,0.0705631998275837,"SPO Double Robust tree Sigma","Correct linear",0.183189328624244,0.222307570830884
800,"SPO_wrong_Double_Robust",0.415621822067839,0.0887690431241264,"SPO Double Robust tree Sigma","Wrong linear",0.391016298665654,0.440227345470023
1000,"SPO_correct_Double_Robust",0.15840742634116,0.0709264134077198,"SPO Double Robust tree Sigma","Correct linear",0.138747627569911,0.178067225112408
1000,"SPO_wrong_Double_Robust",0.361270932665059,0.0892451870901015,"SPO Double Robust tree Sigma","Wrong linear",0.336533428889027,0.38600843644109
1200,"SPO_correct_Double_Robust",0.118796702204131,0.0412208806713213,"SPO Double Robust tree Sigma","Correct linear",0.107370857018455,0.130222547389807
1200,"SPO_wrong_Double_Robust",0.335871745029013,0.0557432027026886,"SPO Double Robust tree Sigma","Wrong linear",0.320420517547651,0.351322972510375
1400,"SPO_correct_Double_Robust",0.105390268691872,0.03486869133677,"SPO Double Robust tree Sigma","Correct linear",0.0957251605585023,0.115055376825242
