"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.667186866921828,0.224554239441557,"ETO Direct Model","Correct linear",0.604943607344129,0.729430126499526
600,"ETO_correct_Direct_Model",0.381131905495608,0.2168751272061,"ETO Direct Model","Correct linear",0.321017187233302,0.441246623757915
800,"ETO_correct_Direct_Model",0.219234302360029,0.0895359531139828,"ETO Direct Model","Correct linear",0.194416202354125,0.244052402365933
1000,"ETO_correct_Direct_Model",0.15101003103868,0.0725634533392785,"ETO Direct Model","Correct linear",0.130896467949053,0.171123594128306
1200,"ETO_correct_Direct_Model",0.116465411561174,0.0556065304941705,"ETO Direct Model","Correct linear",0.101052067683225,0.131878755439122
1400,"ETO_correct_Direct_Model",0.0989895476727862,0.0466821649752267,"ETO Direct Model","Correct linear",0.086049911710321,0.111929183635251
1600,"ETO_correct_Direct_Model",0.0801512084270566,0.0360587331471969,"ETO Direct Model","Correct linear",0.07015623753314,0.0901461793209732
400,"ETO_wrong_Direct_Model",2.38199381508549,0.361095015172255,"ETO Direct Model","Wrong linear",2.28190338340416,2.48208424676683
600,"ETO_wrong_Direct_Model",2.25402640725826,0.315689489409678,"ETO Direct Model","Wrong linear",2.16652174520359,2.34153106931294
800,"ETO_wrong_Direct_Model",2.16555968753058,0.31055454834916,"ETO Direct Model","Wrong linear",2.07947835852071,2.25164101654046
1000,"ETO_wrong_Direct_Model",2.09281452282595,0.329457893854018,"ETO Direct Model","Wrong linear",2.00149345376898,2.18413559188292
1200,"ETO_wrong_Direct_Model",2.07702266354536,0.311597822651484,"ETO Direct Model","Wrong linear",1.99065215365263,2.16339317343809
1400,"ETO_wrong_Direct_Model",2.02825008981457,0.285396798392448,"ETO Direct Model","Wrong linear",1.94914213331746,2.10735804631169
1600,"ETO_wrong_Direct_Model",2.00452280942039,0.308467074263207,"ETO Direct Model","Wrong linear",1.91902009870655,2.09002552013423
