"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",0.667186866921828,0.224554239441557,"ETO Direct Model","Correct linear",0.604943607344129,0.729430126499526
600,"ETO_correct_Direct_Model",0.381131905495608,0.2168751272061,"ETO Direct Model","Correct linear",0.321017187233302,0.441246623757915
800,"ETO_correct_Direct_Model",0.219234302360029,0.0895359531139828,"ETO Direct Model","Correct linear",0.194416202354125,0.244052402365933
1000,"ETO_correct_Direct_Model",0.15101003103868,0.0725634533392785,"ETO Direct Model","Correct linear",0.130896467949053,0.171123594128306
1200,"ETO_correct_Direct_Model",0.116465411561174,0.0556065304941705,"ETO Direct Model","Correct linear",0.101052067683225,0.131878755439122
1400,"ETO_correct_Direct_Model",0.0989895476727862,0.0466821649752267,"ETO Direct Model","Correct linear",0.086049911710321,0.111929183635251
1600,"ETO_correct_Direct_Model",0.0801512084270566,0.0360587331471969,"ETO Direct Model","Correct linear",0.07015623753314,0.0901461793209732
400,"ETO_wrong_Direct_Model",2.41009891281271,0.338569990258172,"ETO Direct Model","Wrong linear",2.31625209949373,2.5039457261317
600,"ETO_wrong_Direct_Model",2.23548952682465,0.338930644096367,"ETO Direct Model","Wrong linear",2.14154274536201,2.3294363082873
800,"ETO_wrong_Direct_Model",2.08121484288725,0.322147320369105,"ETO Direct Model","Wrong linear",1.99192016141581,2.17050952435869
1000,"ETO_wrong_Direct_Model",1.99579059625702,0.320232131311286,"ETO Direct Model","Wrong linear",1.90702677810824,2.0845544144058
1200,"ETO_wrong_Direct_Model",1.92503221744402,0.28839465769466,"ETO Direct Model","Wrong linear",1.84509329674338,2.00497113814465
1400,"ETO_wrong_Direct_Model",1.87250031667722,0.285096060129467,"ETO Direct Model","Wrong linear",1.79347572057363,1.95152491278081
1600,"ETO_wrong_Direct_Model",1.81252823819897,0.293982768477395,"ETO Direct Model","Wrong linear",1.73104037221516,1.89401610418277
