"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"ETO_correct_Direct_Model",3.22381330338845,0.302935698809768,"ETO Direct Model","Correct linear",3.13984381172683,3.30778279505006
600,"ETO_correct_Direct_Model",3.11530493934084,0.39861202111644,"ETO Direct Model","Correct linear",3.00481532416883,3.22579455451285
800,"ETO_correct_Direct_Model",2.24755666821375,0.508117627553052,"ETO Direct Model","Correct linear",2.10671364754114,2.38839968888636
1000,"ETO_correct_Direct_Model",1.36900190088711,0.454048518043256,"ETO Direct Model","Correct linear",1.24314607273744,1.49485772903678
1200,"ETO_correct_Direct_Model",0.958155081375018,0.305484341989446,"ETO Direct Model","Correct linear",0.873479141866335,1.0428310208837
1400,"ETO_correct_Direct_Model",0.707040649839823,0.172297117583827,"ETO Direct Model","Correct linear",0.659282325432634,0.754798974247011
1600,"ETO_correct_Direct_Model",0.599625311000614,0.1130572484581,"ETO Direct Model","Correct linear",0.568287440558184,0.630963181443043
400,"ETO_wrong_Direct_Model",3.04075901941139,0.345906310524486,"ETO Direct Model","Wrong linear",2.94487868186317,3.13663935695961
600,"ETO_wrong_Direct_Model",2.8081049715238,0.332854494963254,"ETO Direct Model","Wrong linear",2.71584241267332,2.90036753037429
800,"ETO_wrong_Direct_Model",2.71681071531156,0.321308168644672,"ETO Direct Model","Wrong linear",2.62774863483104,2.80587279579207
1000,"ETO_wrong_Direct_Model",2.64590547763811,0.35632297665727,"ETO Direct Model","Wrong linear",2.54713778754803,2.74467316772818
1200,"ETO_wrong_Direct_Model",2.67138263001321,0.359752776225456,"ETO Direct Model","Wrong linear",2.57166424798629,2.77110101204014
1400,"ETO_wrong_Direct_Model",2.61160021588349,0.340843884070638,"ETO Direct Model","Wrong linear",2.51712311135659,2.7060773204104
1600,"ETO_wrong_Direct_Model",2.55456309085094,0.31521971510312,"ETO Direct Model","Wrong linear",2.4671886435906,2.64193753811128
