"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDM",3.22656335035084,0.334928958610906,3.13372577951383,3.31940092118785
400,"SPO_Wrong_CDM",3.22180598891457,0.347045924252062,3.12560976655723,3.31800221127191
600,"SPO_Correct_CDM",3.17472574486387,0.426326980456088,3.05655393490162,3.29289755482612
600,"SPO_Wrong_CDM",3.15268797049491,0.401927354251996,3.04127939186241,3.2640965491274
800,"SPO_Correct_CDM",2.41293412188771,0.51797266944884,2.26935942296937,2.55650882080605
800,"SPO_Wrong_CDM",2.52969801054346,0.541487804223017,2.37960524881146,2.67979077227546
1000,"SPO_Correct_CDM",1.56434654925953,0.482630325071526,1.43056824839911,1.69812485011996
1000,"SPO_Wrong_CDM",1.68608822731602,0.419122266176341,1.56991346226467,1.80226299236737
1200,"SPO_Correct_CDM",1.16230961101315,0.364821249136283,1.06118631997254,1.26343290205375
1200,"SPO_Wrong_CDM",1.37125706089068,0.350614650682194,1.27407163803503,1.46844248374633
1400,"SPO_Correct_CDM",0.901341287395549,0.211911937055093,0.842602295254784,0.960080279536314
1400,"SPO_Wrong_CDM",1.17467214354037,0.206026726438525,1.1175644485552,1.23177983852555
1600,"SPO_Correct_CDM",0.765858298597698,0.155265503831698,0.722820896665352,0.808895700530043
1600,"SPO_Wrong_CDM",1.08314968052623,0.172117973767418,1.03544101225154,1.13085834880092
400,"SPO_Correct_Wrong_CDM",3.1155562015759,0.333080937411075,3.02323087608118,3.20788152707062
400,"SPO_Wrong_Wrong_CDM",3.12353832493417,0.335888202071113,3.03043486537539,3.21664178449294
600,"SPO_Correct_Wrong_CDM",2.92515090920767,0.359525729614664,2.82549546129042,3.02480635712493
600,"SPO_Wrong_Wrong_CDM",2.93712856852442,0.340380816445992,2.84277981979446,3.03147731725437
800,"SPO_Correct_Wrong_CDM",2.82573351127815,0.354190287529905,2.72755697245416,2.92391005010213
800,"SPO_Wrong_Wrong_CDM",2.85678578207124,0.362241736579711,2.75637749543243,2.95719406871005
1000,"SPO_Correct_Wrong_CDM",2.73093926158595,0.38018351185211,2.62555776857018,2.83632075460172
1000,"SPO_Wrong_Wrong_CDM",2.76545954040985,0.380281462446064,2.66005089687463,2.87086818394507
1200,"SPO_Correct_Wrong_CDM",2.77497277052724,0.385314924609143,2.6681689224625,2.88177661859197
1200,"SPO_Wrong_Wrong_CDM",2.81709974585694,0.392082818078533,2.70841993343252,2.92577955828137
1400,"SPO_Correct_Wrong_CDM",2.70791716229322,0.387290947157384,2.60056558872258,2.81526873586386
1400,"SPO_Wrong_Wrong_CDM",2.75394620051771,0.38702560905218,2.64666817491748,2.86122422611794
1600,"SPO_Correct_Wrong_CDM",2.65251077244859,0.363503749330482,2.55175267372237,2.75326887117482
1600,"SPO_Wrong_Wrong_CDM",2.66496619018853,0.358305117764738,2.56564907861445,2.7642833017626
