"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDM",3.23343345223587,0.337482275014876,3.13988813820011,3.32697876627164
400,"SPO_Wrong_CDM",3.25403732401258,0.311569830604212,3.1676745731195,3.34040007490567
600,"SPO_Correct_CDM",3.17437500821253,0.423778216990155,3.056909679439,3.29184033698606
600,"SPO_Wrong_CDM",3.19111628348707,0.411796882014172,3.07697201133154,3.3052605556426
800,"SPO_Correct_CDM",2.41933412844765,0.501321425787047,2.28037491879422,2.55829333810107
800,"SPO_Wrong_CDM",2.47371679311042,0.52680988961281,2.32769254173661,2.61974104448423
1000,"SPO_Correct_CDM",1.57174836443418,0.480710619570099,1.43850217879071,1.70499455007765
1000,"SPO_Wrong_CDM",1.62852787161494,0.489204376148098,1.49292733676484,1.76412840646503
1200,"SPO_Correct_CDM",1.15421083174326,0.3496774072101,1.05728519952379,1.25113646396273
1200,"SPO_Wrong_CDM",1.2395689386674,0.339996429918813,1.14532673644687,1.33381114088792
1400,"SPO_Correct_CDM",0.899717968395249,0.210342573441706,0.841413981654528,0.95802195513597
1400,"SPO_Wrong_CDM",1.0254163170611,0.199875955729463,0.970013528733663,1.08081910538854
1600,"SPO_Correct_CDM",0.766208833312729,0.153537825414712,0.723650319405132,0.808767347220325
1600,"SPO_Wrong_CDM",0.912219446504592,0.153340991766479,0.869715492100709,0.954723400908476
400,"SPO_Correct_Wrong_CDM",3.26366591807498,0.364071606186106,3.16275041745888,3.36458141869108
400,"SPO_Wrong_Wrong_CDM",3.25761061885987,0.356751132295011,3.15872425008189,3.35649698763785
600,"SPO_Correct_Wrong_CDM",3.15551505653201,0.34483651909364,3.05993125003967,3.25109886302434
600,"SPO_Wrong_Wrong_CDM",3.15124078233981,0.333231151777852,3.05887381954692,3.2436077451327
800,"SPO_Correct_Wrong_CDM",3.10001931085043,0.344902857204271,3.00441711637196,3.19562150532889
800,"SPO_Wrong_Wrong_CDM",3.11096512665847,0.342713448080039,3.01596980542711,3.20596044788982
1000,"SPO_Correct_Wrong_CDM",3.04295578358572,0.323578352055525,2.95326444036813,3.1326471268033
1000,"SPO_Wrong_Wrong_CDM",3.03906393001857,0.32016278257237,2.9503193343595,3.12780852567763
1200,"SPO_Correct_Wrong_CDM",3.00398609111238,0.341789443441794,2.90924689089968,3.09872529132508
1200,"SPO_Wrong_Wrong_CDM",3.00966603166959,0.332925447283449,2.91738380583934,3.10194825749983
1400,"SPO_Correct_Wrong_CDM",2.95565779667858,0.318776820400045,2.86729737013372,3.04401822322345
1400,"SPO_Wrong_Wrong_CDM",2.96471026734484,0.311211446796573,2.87844685537505,3.05097367931463
1600,"SPO_Correct_Wrong_CDM",2.87712673950877,0.335614935743138,2.78409902551163,2.9701544535059
1600,"SPO_Wrong_Wrong_CDM",2.89713918513224,0.308571597283996,2.81160750211518,2.98267086814931
