"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDR",3.22940495813534,0.340986555150107,3.13488830720283,3.32392160906786
400,"SPO_Wrong_CDR",3.2558811711037,0.318009112905061,3.1677335422197,3.3440287999877
600,"SPO_Correct_CDR",3.1688096504487,0.423487142980268,3.0514250032744,3.28619429762299
600,"SPO_Wrong_CDR",3.19827124837113,0.412521567563122,3.08392610362977,3.31261639311249
800,"SPO_Correct_CDR",2.49505796750047,0.472562322370167,2.36407037460944,2.62604556039151
800,"SPO_Wrong_CDR",2.5543554138306,0.510737022422116,2.41278633394318,2.69592449371802
1000,"SPO_Correct_CDR",1.69137940677994,0.464508176598826,1.56262430919681,1.82013450436308
1000,"SPO_Wrong_CDR",1.76459418773145,0.506126180060912,1.62430316814106,1.90488520732184
1200,"SPO_Correct_CDR",1.26094600055073,0.386376868915779,1.15384779654197,1.36804420455949
1200,"SPO_Wrong_CDR",1.38944952133994,0.389678945833074,1.28143602830693,1.49746301437294
1400,"SPO_Correct_CDR",0.996979246604253,0.23726791846395,0.931211934995533,1.06274655821297
1400,"SPO_Wrong_CDR",1.15079350754951,0.213350691649364,1.09165571298175,1.20993130211726
1600,"SPO_Correct_CDR",0.875964633452841,0.179075488496016,0.826327440486989,0.925601826418693
1600,"SPO_Wrong_CDR",1.04362106799005,0.17760461065729,0.994391581560273,1.09285055441983
400,"SPO_Correct_Wrong_CDR",3.2475768773095,0.362202505513313,3.1471794649675,3.3479742896515
400,"SPO_Wrong_Wrong_CDR",3.23435527293436,0.366075775123882,3.13288424503122,3.3358263008375
600,"SPO_Correct_Wrong_CDR",3.16708485420686,0.341503649554822,3.07242487201799,3.26174483639572
600,"SPO_Wrong_Wrong_CDR",3.16798344071835,0.335637703176236,3.07494941591074,3.26101746552597
800,"SPO_Correct_Wrong_CDR",3.10949638371977,0.361947862582576,3.00916955479706,3.20982321264247
800,"SPO_Wrong_Wrong_CDR",3.12701227905579,0.366894721188149,3.02531425088499,3.2287103072266
1000,"SPO_Correct_Wrong_CDR",3.03474437140799,0.309076482827831,2.94907274125815,3.12041600155783
1000,"SPO_Wrong_Wrong_CDR",3.05220813755543,0.317810028933156,2.96411569193304,3.14030058317782
1200,"SPO_Correct_Wrong_CDR",3.00352634353944,0.335797058858692,2.91044814759022,3.09660453948866
1200,"SPO_Wrong_Wrong_CDR",3.02822059682993,0.328727048067723,2.93710210788947,3.1193390857704
1400,"SPO_Correct_Wrong_CDR",3.01117796000042,0.323583906083052,2.92148507728495,3.10087084271589
1400,"SPO_Wrong_Wrong_CDR",3.02277092357513,0.331339400227262,2.93092832755933,3.11461351959092
1600,"SPO_Correct_Wrong_CDR",2.9119627885447,0.323022928267056,2.82242540094661,3.0015001761428
1600,"SPO_Wrong_Wrong_CDR",2.94808579432607,0.326219861167495,2.85766226213827,3.03850932651386
