"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_IPW_Ideal",3.23109908654155,0.136019739519662,"SPO Ideal IPW","Correct linear",3.19339633830723,3.26880183477586
400,"SPO_wrong_IPW_Ideal",3.28862897762198,0.148978625851798,"SPO Ideal IPW","Wrong linear",3.24733420935805,3.32992374588591
600,"SPO_correct_IPW_Ideal",3.26201744049027,0.104809813900507,"SPO Ideal IPW","Correct linear",3.23296564227384,3.2910692387067
600,"SPO_wrong_IPW_Ideal",3.28480913976947,0.0870776381159794,"SPO Ideal IPW","Wrong linear",3.26067244991607,3.30894582962286
800,"SPO_correct_IPW_Ideal",3.28197785485832,0.0798291100726928,"SPO Ideal IPW","Correct linear",3.25985035447147,3.30410535524517
800,"SPO_wrong_IPW_Ideal",3.29854350493592,0.065806873310232,"SPO Ideal IPW","Wrong linear",3.28030277028032,3.31678423959153
1000,"SPO_correct_IPW_Ideal",3.27849202844962,0.0781100266028829,"SPO Ideal IPW","Correct linear",3.25684103368971,3.30014302320952
1000,"SPO_wrong_IPW_Ideal",3.29017530698629,0.0440061153996058,"SPO Ideal IPW","Wrong linear",3.2779774341221,3.30237317985049
1200,"SPO_correct_IPW_Ideal",3.27063059389874,0.0711742379279715,"SPO Ideal IPW","Correct linear",3.25090210167516,3.29035908612233
1200,"SPO_wrong_IPW_Ideal",3.2934742950116,0.0635444245854414,"SPO Ideal IPW","Wrong linear",3.27586067914747,3.31108791087574
1400,"SPO_correct_IPW_Ideal",3.29434362984368,0.0554862988941469,"SPO Ideal IPW","Correct linear",3.27896361246497,3.30972364722239
1400,"SPO_wrong_IPW_Ideal",3.30538180370235,0.0336105672461358,"SPO Ideal IPW","Wrong linear",3.29606542977479,3.3146981776299
1600,"SPO_correct_IPW_Ideal",3.30411536993978,0.0741569793724014,"SPO Ideal IPW","Correct linear",3.28356010396906,3.3246706359105
1600,"SPO_wrong_IPW_Ideal",3.3078948201684,0.065671489679379,"SPO Ideal IPW","Wrong linear",3.2896916119407,3.3260980283961
400,"SPO_correct_Sample_IPW",3.26461479880484,0.161453084461853,"SPO Sample IPW","Correct linear",3.21986228702519,3.30936731058449
400,"SPO_wrong_Sample_IPW",3.30074941251514,0.209147443996991,"SPO Sample IPW","Wrong linear",3.24277669875524,3.35872212627504
600,"SPO_correct_Sample_IPW",3.26747155540177,0.130521391060711,"SPO Sample IPW","Correct linear",3.23129287160387,3.30365023919967
600,"SPO_wrong_Sample_IPW",3.26026532719985,0.115254189154261,"SPO Sample IPW","Wrong linear",3.22831849586509,3.29221215853462
800,"SPO_correct_Sample_IPW",3.29060213557015,0.0592362683059861,"SPO Sample IPW","Correct linear",3.27418267970171,3.3070215914386
800,"SPO_wrong_Sample_IPW",3.29115056311138,0.0491534692085923,"SPO Sample IPW","Wrong linear",3.27752591656405,3.3047752096587
1000,"SPO_correct_Sample_IPW",3.27315892830785,0.0754384927448193,"SPO Sample IPW","Correct linear",3.25224844495317,3.29406941166254
1000,"SPO_wrong_Sample_IPW",3.28694149347182,0.0599812733943321,"SPO Sample IPW","Wrong linear",3.27031553272857,3.30356745421506
1200,"SPO_correct_Sample_IPW",3.27136481154152,0.0566767745776735,"SPO Sample IPW","Correct linear",3.25565481113877,3.28707481194426
