"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",2.24876209568191,0.341700185388633,"SPO Direct Model","Correct linear",2.15404763653928,2.34347655482455
400,"SPO_wrong_Direct_Model",2.22493504612207,0.354819632428997,"SPO Direct Model","Wrong linear",2.12658406179211,2.32328603045202
600,"SPO_correct_Direct_Model",2.14140301941494,0.290882271491056,"SPO Direct Model","Correct linear",2.06077456734921,2.22203147148066
600,"SPO_wrong_Direct_Model",2.12208899802609,0.285238028789368,"SPO Direct Model","Wrong linear",2.04302505021766,2.20115294583451
800,"SPO_correct_Direct_Model",2.02891715216098,0.265713617070694,"SPO Direct Model","Correct linear",1.95526509517113,2.10256920915082
800,"SPO_wrong_Direct_Model",2.00977739054695,0.26549781983179,"SPO Direct Model","Wrong linear",1.93618514949997,2.08336963159392
1000,"SPO_correct_Direct_Model",1.95663720278183,0.286800529987817,"SPO Direct Model","Correct linear",1.87714015173774,2.03613425382593
1000,"SPO_wrong_Direct_Model",1.95280573000111,0.264027259716718,"SPO Direct Model","Wrong linear",1.8796211074217,2.02599035258052
1200,"SPO_correct_Direct_Model",1.96006071095531,0.255336930444149,"SPO Direct Model","Correct linear",1.88928492475358,2.03083649715704
1200,"SPO_wrong_Direct_Model",1.9611002527122,0.263419940293703,"SPO Direct Model","Wrong linear",1.88808397048828,2.03411653493612
1400,"SPO_correct_Direct_Model",1.88319296641791,0.289620526381961,"SPO Direct Model","Correct linear",1.80291425225311,1.96347168058271
1400,"SPO_wrong_Direct_Model",1.88687712505285,0.282738669289022,"SPO Direct Model","Wrong linear",1.80850596435254,1.96524828575315
1600,"SPO_correct_Direct_Model",1.84153414686191,0.26829613604376,"SPO Direct Model","Correct linear",1.76716625213414,1.91590204158969
1600,"SPO_wrong_Direct_Model",1.85857676152187,0.28039077298423,"SPO Direct Model","Wrong linear",1.78085640447383,1.93629711856991
400,"SPO_correct_Double_Robust",2.23172543761314,0.339453893293363,"SPO Double Robust Sample Sigma","Correct linear",2.13763361887276,2.32581725635352
400,"SPO_wrong_Double_Robust",2.16069691716562,0.406651472431293,"SPO Double Robust Sample Sigma","Wrong linear",2.04797887978124,2.27341495455
600,"SPO_correct_Double_Robust",2.17255940439544,0.317945071785253,"SPO Double Robust Sample Sigma","Correct linear",2.08442952680419,2.26068928198668
600,"SPO_wrong_Double_Robust",2.06051984246278,0.303240514273646,"SPO Double Robust Sample Sigma","Wrong linear",1.97646586026521,2.14457382466034
800,"SPO_correct_Double_Robust",2.10390232757963,0.312831173316459,"SPO Double Robust Sample Sigma","Correct linear",2.01718995032433,2.19061470483492
800,"SPO_wrong_Double_Robust",1.96774104947298,0.284609298492075,"SPO Double Robust Sample Sigma","Wrong linear",1.88885137681161,2.04663072213436
1000,"SPO_correct_Double_Robust",2.04563774589573,0.273643994371185,"SPO Double Robust Sample Sigma","Correct linear",1.9697875004678,2.12148799132366
1000,"SPO_wrong_Double_Robust",1.87132217616571,0.251308177276162,"SPO Double Robust Sample Sigma","Wrong linear",1.80166310336843,1.940981248963
1200,"SPO_correct_Double_Robust",2.06676823289313,0.261598576845268,"SPO Double Robust Sample Sigma","Correct linear",1.9942568068598,2.13927965892646
1200,"SPO_wrong_Double_Robust",1.8711191159994,0.27884207566158,"SPO Double Robust Sample Sigma","Wrong linear",1.79382803594787,1.94841019605093
1400,"SPO_correct_Double_Robust",2.00967044120966,0.230712566857233,"SPO Double Robust Sample Sigma","Correct linear",1.94572018036202,2.0736207020573
1400,"SPO_wrong_Double_Robust",1.78391763447879,0.263177822303754,"SPO Double Robust Sample Sigma","Wrong linear",1.7109684639377,1.85686680501987
1600,"SPO_correct_Double_Robust",1.96763213352546,0.241049465236773,"SPO Double Robust Sample Sigma","Correct linear",1.9008166306291,2.03444763642182
1600,"SPO_wrong_Double_Robust",1.78532138139792,0.310878511229876,"SPO Double Robust Sample Sigma","Wrong linear",1.69915025445891,1.87149250833692
400,"SPO_correct_Lambda_Double_Robust",2.16166237343408,0.362782477583181,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.06110420103615,2.26222054583201
400,"SPO_wrong_Lambda_Double_Robust",2.16296389272275,0.372559257834162,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.05969573510027,2.26623205034523
600,"SPO_correct_Lambda_Double_Robust",2.09656368211517,0.322612952970082,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.00713993387161,2.18598743035872
600,"SPO_wrong_Lambda_Double_Robust",2.07878756148454,0.311011335546931,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.99257961752322,2.16499550544586
800,"SPO_correct_Lambda_Double_Robust",1.98333695645735,0.307570375262264,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.89808279802565,2.06859111488904
800,"SPO_wrong_Lambda_Double_Robust",1.97774916164032,0.279968371041671,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.90014588843724,2.05535243484339
1000,"SPO_correct_Lambda_Double_Robust",1.89993259478098,0.282561154473622,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.82161063867713,1.97825455088484
1000,"SPO_wrong_Lambda_Double_Robust",1.91621929983872,0.266649601351483,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.84230780124272,1.99013079843472
1200,"SPO_correct_Lambda_Double_Robust",1.87054008123819,0.268986805855738,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.79598074260583,1.94509941987055
1200,"SPO_wrong_Lambda_Double_Robust",1.90975616725093,0.250697536395212,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.8402663554703,1.97924597903156
1400,"SPO_correct_Lambda_Double_Robust",1.82144330659964,0.256438965989101,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.75036205172959,1.89252456146969
1400,"SPO_wrong_Lambda_Double_Robust",1.84230676937905,0.245472187387597,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.77426535044762,1.91034818831048
1600,"SPO_correct_Lambda_Double_Robust",1.82087172139293,0.250064919439459,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.7515572620861,1.89018618069975
1600,"SPO_wrong_Lambda_Double_Robust",1.82642488038469,0.259795347033921,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.7544132841542,1.89843647661518
400,"SPO_correct_Clip_Double_Robust",2.16536805992181,0.354805525238308,"SPO Clip Double Robust","Correct linear",2.06702098590561,2.26371513393801
400,"SPO_wrong_Clip_Double_Robust",2.14657105773696,0.373802699895517,"SPO Clip Double Robust","Wrong linear",2.04295823555955,2.25018387991437
600,"SPO_correct_Clip_Double_Robust",2.05576061197361,0.298359763151826,"SPO Clip Double Robust","Correct linear",1.97305950496452,2.13846171898269
600,"SPO_wrong_Clip_Double_Robust",2.05740636128028,0.274048370840071,"SPO Clip Double Robust","Wrong linear",1.98144402841377,2.13336869414678
800,"SPO_correct_Clip_Double_Robust",1.92524076507784,0.326662805647186,"SPO Clip Double Robust","Correct linear",1.8346944549443,2.01578707521139
800,"SPO_wrong_Clip_Double_Robust",1.9665159520657,0.299271030468885,"SPO Clip Double Robust","Wrong linear",1.88356225464326,2.04946964948813
1000,"SPO_correct_Clip_Double_Robust",1.86524052980442,0.302300681471482,"SPO Clip Double Robust","Correct linear",1.78144705596871,1.94903400364014
1000,"SPO_wrong_Clip_Double_Robust",1.86601829611751,0.279499637569038,"SPO Clip Double Robust","Wrong linear",1.78854494920433,1.9434916430307
1200,"SPO_correct_Clip_Double_Robust",1.8435760959388,0.253826062936558,"SPO Clip Double Robust","Correct linear",1.77321910084382,1.91393309103377
1200,"SPO_wrong_Clip_Double_Robust",1.84312597278712,0.267003596197064,"SPO Clip Double Robust","Wrong linear",1.76911635182604,1.9171355937482
1400,"SPO_correct_Clip_Double_Robust",1.79462296187308,0.240669765850955,"SPO Clip Double Robust","Correct linear",1.72791270627685,1.86133321746932
1400,"SPO_wrong_Clip_Double_Robust",1.81395412642925,0.260154509018628,"SPO Clip Double Robust","Wrong linear",1.74184297557579,1.88606527728272
1600,"SPO_correct_Clip_Double_Robust",1.76676714092688,0.276518287697063,"SPO Clip Double Robust","Correct linear",1.69012018203663,1.84341409981714
1600,"SPO_wrong_Clip_Double_Robust",1.78545684119063,0.254983149009812,"SPO Clip Double Robust","Wrong linear",1.7147791181994,1.85613456418186
