"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.450223650552278,0.178478013256186,"SPO Direct Model","Correct linear",0.400752069273547,0.49969523183101
400,"SPO_wrong_Direct_Model",0.874097397756305,0.200013321452897,"SPO Direct Model","Wrong linear",0.818656533592925,0.929538261919684
600,"SPO_correct_Direct_Model",0.233896293248295,0.0908885578771041,"SPO Direct Model","Correct linear",0.208703270330286,0.259089316166304
600,"SPO_wrong_Direct_Model",0.671554773190781,0.127796774716745,"SPO Direct Model","Wrong linear",0.636131314512517,0.706978231869045
800,"SPO_correct_Direct_Model",0.126263689911454,0.0594734151639686,"SPO Direct Model","Correct linear",0.10977850028765,0.142748879535258
800,"SPO_wrong_Direct_Model",0.568022481423667,0.0939685209112681,"SPO Direct Model","Wrong linear",0.541975736308731,0.594069226538602
1000,"SPO_correct_Direct_Model",0.0831166536598154,0.0362220920319009,"SPO Direct Model","Correct linear",0.0730764019932434,0.0931569053263873
1000,"SPO_wrong_Direct_Model",0.52762614896029,0.0706893118318825,"SPO Direct Model","Wrong linear",0.508032071392826,0.547220226527754
1200,"SPO_correct_Direct_Model",0.0634592278891455,0.025656513703134,"SPO Direct Model","Correct linear",0.0563476051192775,0.0705708506590134
1200,"SPO_wrong_Direct_Model",0.509830899366349,0.0634425765819153,"SPO Direct Model","Wrong linear",0.492245514328477,0.52741628440422
1400,"SPO_correct_Direct_Model",0.0520844472867093,0.0220779151978692,"SPO Direct Model","Correct linear",0.0459647614147664,0.0582041331586522
1400,"SPO_wrong_Direct_Model",0.488752475226176,0.041832175971477,"SPO Direct Model","Wrong linear",0.477157187628098,0.500347762824254
1600,"SPO_correct_Direct_Model",0.0420960038215675,0.0209221622280799,"SPO Direct Model","Correct linear",0.0362966763284519,0.0478953313146832
1600,"SPO_wrong_Direct_Model",0.473276486407153,0.0430792287981045,"SPO Direct Model","Wrong linear",0.461335533401074,0.485217439413232
400,"SPO_correct_Double_Robust",0.524423272014741,0.161298376039847,"SPO Double Robust tree Sigma","Correct linear",0.479713643221817,0.569132900807666
400,"SPO_wrong_Double_Robust",1.06575358524208,0.185592039926902,"SPO Double Robust tree Sigma","Wrong linear",1.01431009637519,1.11719707410897
600,"SPO_correct_Double_Robust",0.314099768651226,0.0939138628404547,"SPO Double Robust tree Sigma","Correct linear",0.288068173980558,0.340131363321894
600,"SPO_wrong_Double_Robust",0.905736817252914,0.160134615911557,"SPO Double Robust tree Sigma","Wrong linear",0.861349766309918,0.95012386819591
800,"SPO_correct_Double_Robust",0.202649780432719,0.0701760977294759,"SPO Double Robust tree Sigma","Correct linear",0.183197958556684,0.222101602308755
800,"SPO_wrong_Double_Robust",0.788972771982726,0.130456689618963,"SPO Double Robust tree Sigma","Wrong linear",0.752812022509485,0.825133521455967
1000,"SPO_correct_Double_Robust",0.152349285282677,0.0526096415949068,"SPO Double Robust tree Sigma","Correct linear",0.137766636626277,0.166931933939078
1000,"SPO_wrong_Double_Robust",0.702316095213906,0.0936033106944786,"SPO Double Robust tree Sigma","Wrong linear",0.676370581206344,0.728261609221468
1200,"SPO_correct_Double_Robust",0.123043580880282,0.038582342916042,"SPO Double Robust tree Sigma","Correct linear",0.112349101046763,0.133738060713801
1200,"SPO_wrong_Double_Robust",0.687507770567273,0.0807344074362178,"SPO Double Robust tree Sigma","Wrong linear",0.665129334553768,0.709886206580778
1400,"SPO_correct_Double_Robust",0.103888058684549,0.0342042308483468,"SPO Double Robust tree Sigma","Correct linear",0.0944071296019194,0.113368987767178
1400,"SPO_wrong_Double_Robust",0.667328407338234,0.0757206141945071,"SPO Double Robust tree Sigma","Wrong linear",0.646339723907396,0.688317090769072
1600,"SPO_correct_Double_Robust",0.0913561780246652,0.0303961304814672,"SPO Double Robust tree Sigma","Correct linear",0.0829308005104368,0.0997815555388936
1600,"SPO_wrong_Double_Robust",0.647027771497755,0.076778865332694,"SPO Double Robust tree Sigma","Wrong linear",0.625745755816961,0.668309787178549
400,"SPO_correct_Lambda_Double_Robust",0.447682674970852,0.184829429185722,"SPO Lambda Double Robust tree Sigma","Correct linear",0.396450571016747,0.498914778924956
400,"SPO_wrong_Lambda_Double_Robust",0.928384545608846,0.183134344699176,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.877622295102908,0.979146796114783
600,"SPO_correct_Lambda_Double_Robust",0.229068140916595,0.083137734790146,"SPO Lambda Double Robust tree Sigma","Correct linear",0.206023536547895,0.252112745285294
600,"SPO_wrong_Lambda_Double_Robust",0.728739192075893,0.132078414722777,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.692128923337946,0.76534946081384
800,"SPO_correct_Lambda_Double_Robust",0.128813710521227,0.0519142964730619,"SPO Lambda Double Robust tree Sigma","Correct linear",0.114423801699188,0.143203619343267
800,"SPO_wrong_Lambda_Double_Robust",0.632504139611509,0.0999878579548494,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.604788919392202,0.660219359830816
1000,"SPO_correct_Lambda_Double_Robust",0.0846203572463343,0.0273923286474277,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0770275911214123,0.0922131233712562
1000,"SPO_wrong_Lambda_Double_Robust",0.583173083012769,0.0746164782030525,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.562490450464319,0.603855715561218
1200,"SPO_correct_Lambda_Double_Robust",0.0707295295583246,0.0245184405846011,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0639333645625401,0.077525694554109
1200,"SPO_wrong_Lambda_Double_Robust",0.560457316479042,0.0549785149520456,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.545218049628116,0.575696583329968
1400,"SPO_correct_Lambda_Double_Robust",0.0582717952229381,0.0221358211073143,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0521360586517893,0.0644075317940869
1400,"SPO_wrong_Lambda_Double_Robust",0.542974789483949,0.0486102443303585,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.529500717190706,0.556448861777193
1600,"SPO_correct_Lambda_Double_Robust",0.048745697024079,0.0177064537975237,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0438377184320889,0.0536536756160692
1600,"SPO_wrong_Lambda_Double_Robust",0.528908879112079,0.0434312052883686,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.516870363200471,0.540947395023687
400,"SPO_correct_Clip_Double_Robust",0.449384374536843,0.168951987397361,"SPO Clip tree Double Robust","Correct linear",0.402553272911265,0.496215476162421
400,"SPO_wrong_Clip_Double_Robust",0.954297894550866,0.189198073360982,"SPO Clip tree Double Robust","Wrong linear",0.901854864211761,1.00674092488997
