"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",2.18639842007362,0.3947156169381,"SPO Direct Model","Correct linear",2.07698883303777,2.29580800710947
400,"SPO_wrong_Direct_Model",2.162091027531,0.387644175534664,"SPO Direct Model","Wrong linear",2.05464154404946,2.26954051101255
600,"SPO_correct_Direct_Model",1.96468007207001,0.30988696490406,"SPO Direct Model","Correct linear",1.8787837877503,2.05057635638972
600,"SPO_wrong_Direct_Model",1.93579539207984,0.30598714584693,"SPO Direct Model","Wrong linear",1.8509800824524,2.02061070170728
800,"SPO_correct_Direct_Model",1.83276421507344,0.311335721849089,"SPO Direct Model","Correct linear",1.74646635581656,1.91906207433032
800,"SPO_wrong_Direct_Model",1.80539516037627,0.31113669622598,"SPO Direct Model","Wrong linear",1.71915246820754,1.891637852545
1000,"SPO_correct_Direct_Model",1.73559907954396,0.226468052332028,"SPO Direct Model","Correct linear",1.67282533809773,1.79837282099018
1000,"SPO_wrong_Direct_Model",1.72677360971786,0.234438921898033,"SPO Direct Model","Wrong linear",1.66179045595018,1.79175676348554
1200,"SPO_correct_Direct_Model",1.7042761646297,0.243641292124327,"SPO Direct Model","Correct linear",1.63674224397314,1.77181008528626
1200,"SPO_wrong_Direct_Model",1.67129456823474,0.253000699490234,"SPO Direct Model","Wrong linear",1.60116635221499,1.7414227842545
1400,"SPO_correct_Direct_Model",1.63990065007482,0.259576725505379,"SPO Direct Model","Correct linear",1.56794965264034,1.7118516475093
1400,"SPO_wrong_Direct_Model",1.61851274483342,0.241199279935033,"SPO Direct Model","Wrong linear",1.55165571542135,1.68536977424549
1600,"SPO_correct_Direct_Model",1.60379530455783,0.285636894044943,"SPO Direct Model","Correct linear",1.52462079694123,1.68296981217444
1600,"SPO_wrong_Direct_Model",1.5826949981836,0.303532201391122,"SPO Direct Model","Wrong linear",1.49856016444204,1.66682983192516
400,"SPO_correct_Double_Robust",1.94583130097835,0.359954573123562,"SPO Double Robust Sample Sigma","Correct linear",1.84605698370503,2.04560561825166
400,"SPO_wrong_Double_Robust",1.91814229556487,0.373635443106387,"SPO Double Robust Sample Sigma","Wrong linear",1.8145758346041,2.02170875652564
600,"SPO_correct_Double_Robust",1.74583467684235,0.303700545362123,"SPO Double Robust Sample Sigma","Correct linear",1.66165318053271,1.83001617315199
600,"SPO_wrong_Double_Robust",1.69029965322583,0.255892557094767,"SPO Double Robust Sample Sigma","Wrong linear",1.6193698551741,1.76122945127757
800,"SPO_correct_Double_Robust",1.62492411192648,0.313452096725579,"SPO Double Robust Sample Sigma","Correct linear",1.53803962348314,1.71180860036983
800,"SPO_wrong_Double_Robust",1.58056800970583,0.276061024287341,"SPO Double Robust Sample Sigma","Wrong linear",1.50404779776624,1.65708822164543
1000,"SPO_correct_Double_Robust",1.56121019497418,0.232572038549229,"SPO Double Robust Sample Sigma","Correct linear",1.49674451486975,1.62567587507862
1000,"SPO_wrong_Double_Robust",1.50469031580745,0.25644271259483,"SPO Double Robust Sample Sigma","Wrong linear",1.43360802243127,1.57577260918363
1200,"SPO_correct_Double_Robust",1.56205169896185,0.217249420053563,"SPO Double Robust Sample Sigma","Correct linear",1.50183323201539,1.62227016590831
1200,"SPO_wrong_Double_Robust",1.48905867491483,0.237536714956868,"SPO Double Robust Sample Sigma","Wrong linear",1.42321685671953,1.55490049311012
1400,"SPO_correct_Double_Robust",1.480457519483,0.216045709809281,"SPO Double Robust Sample Sigma","Correct linear",1.42057270399365,1.54034233497234
1400,"SPO_wrong_Double_Robust",1.41390523984206,0.21763525581955,"SPO Double Robust Sample Sigma","Wrong linear",1.35357982467768,1.47423065500645
1600,"SPO_correct_Double_Robust",1.45549737376933,0.204829857861825,"SPO Double Robust Sample Sigma","Correct linear",1.39872143382777,1.51227331371089
1600,"SPO_wrong_Double_Robust",1.34864927822621,0.236949888754801,"SPO Double Robust Sample Sigma","Wrong linear",1.28297011995536,1.41432843649705
