"n","methods","avg_regret","std","method_type","setting","lb","ub"
400,"SPO_correct_Direct_Model",0.444299392247638,0.170905328820813,"SPO Direct Model","Correct linear",0.396926852003194,0.491671932492082
400,"SPO_wrong_Direct_Model",0.597300456790969,0.179097627885476,"SPO Direct Model","Wrong linear",0.547657127099449,0.646943786482489
600,"SPO_correct_Direct_Model",0.23419445774995,0.087252019853984,"SPO Direct Model","Correct linear",0.210009431744848,0.258379483755052
600,"SPO_wrong_Direct_Model",0.374784025298097,0.0941164304575015,"SPO Direct Model","Wrong linear",0.348696281748649,0.400871768847545
800,"SPO_correct_Direct_Model",0.126650686658706,0.0562348885525535,"SPO Direct Model","Correct linear",0.111063170813072,0.14223820250434
800,"SPO_wrong_Direct_Model",0.272948513458769,0.0630964337601231,"SPO Direct Model","Wrong linear",0.255459074316025,0.290437952601514
1000,"SPO_correct_Direct_Model",0.0806409953907675,0.0335450651833192,"SPO Direct Model","Correct linear",0.0713427777087114,0.0899392130728237
1000,"SPO_wrong_Direct_Model",0.229444550665513,0.0419622839689419,"SPO Direct Model","Wrong linear",0.217813198970495,0.24107590236053
1200,"SPO_correct_Direct_Model",0.0635231696443925,0.02580688920108,"SPO Direct Model","Correct linear",0.0563698649130704,0.0706764743757146
1200,"SPO_wrong_Direct_Model",0.209210070109726,0.0395427452142044,"SPO Direct Model","Wrong linear",0.19824938034095,0.220170759878503
1400,"SPO_correct_Direct_Model",0.0528729040286875,0.0226238607754773,"SPO Direct Model","Correct linear",0.0466018897632711,0.0591439182941039
1400,"SPO_wrong_Direct_Model",0.196700598171233,0.0319945910457943,"SPO Direct Model","Wrong linear",0.187832149993642,0.205569046348823
1600,"SPO_correct_Direct_Model",0.0411392264577973,0.0202044029061795,"SPO Direct Model","Correct linear",0.0355388516983217,0.0467396012172729
1600,"SPO_wrong_Direct_Model",0.17908478911963,0.0232131273528869,"SPO Direct Model","Wrong linear",0.172650438492231,0.185519139747029
400,"SPO_correct_Double_Robust",0.53200299409334,0.153918953381829,"SPO Double Robust tree Sigma","Correct linear",0.489338836903085,0.574667151283596
400,"SPO_wrong_Double_Robust",0.745454952849626,0.185876005535963,"SPO Double Robust tree Sigma","Wrong linear",0.693932752731682,0.796977152967571
600,"SPO_correct_Double_Robust",0.303593302236177,0.101547846174073,"SPO Double Robust tree Sigma","Correct linear",0.275445675343504,0.331740929128851
600,"SPO_wrong_Double_Robust",0.526551280997354,0.128270368215315,"SPO Double Robust tree Sigma","Wrong linear",0.490996548898739,0.562106013095969
800,"SPO_correct_Double_Robust",0.202291907755996,0.0744525044930322,"SPO Double Robust tree Sigma","Correct linear",0.181654726401085,0.222929089110907
800,"SPO_wrong_Double_Robust",0.40676701778111,0.0890428319271797,"SPO Double Robust tree Sigma","Wrong linear",0.382085603994579,0.431448431567641
1000,"SPO_correct_Double_Robust",0.152739524475766,0.0596827577722048,"SPO Double Robust tree Sigma","Correct linear",0.136196308041435,0.169282740910097
1000,"SPO_wrong_Double_Robust",0.362368844434466,0.0695889837210782,"SPO Double Robust tree Sigma","Wrong linear",0.343079762258724,0.381657926610207
1200,"SPO_correct_Double_Robust",0.122887724938726,0.0480437206943029,"SPO Double Robust tree Sigma","Correct linear",0.109570684985748,0.136204764891705
1200,"SPO_wrong_Double_Robust",0.334089440695516,0.0595397342992564,"SPO Double Robust tree Sigma","Wrong linear",0.31758586834528,0.350593013045751
1400,"SPO_correct_Double_Robust",0.115881267833706,0.0537707521289268,"SPO Double Robust tree Sigma","Correct linear",0.100976775757439,0.130785759909973
1400,"SPO_wrong_Double_Robust",0.31901276520339,0.0538839474500478,"SPO Double Robust tree Sigma","Wrong linear",0.304076896984891,0.333948633421889
1600,"SPO_correct_Double_Robust",0.0942913383201215,0.0301080367586093,"SPO Double Robust tree Sigma","Correct linear",0.0859458163117128,0.10263686032853
1600,"SPO_wrong_Double_Robust",0.290495302180185,0.0537732155518058,"SPO Double Robust tree Sigma","Wrong linear",0.275590127277933,0.305400477082437
400,"SPO_correct_Lambda_Double_Robust",0.441235888740497,0.189704903603334,"SPO Lambda Double Robust tree Sigma","Correct linear",0.388652372225692,0.493819405255302
400,"SPO_wrong_Lambda_Double_Robust",0.610701582672291,0.182931817899931,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.559995469731017,0.661407695613566
600,"SPO_correct_Lambda_Double_Robust",0.228781852416683,0.0830698608653946,"SPO Lambda Double Robust tree Sigma","Correct linear",0.205756061740067,0.2518076430933
600,"SPO_wrong_Lambda_Double_Robust",0.40294187460243,0.0979317564282474,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.375796576649372,0.430087172555488
800,"SPO_correct_Lambda_Double_Robust",0.129175505804589,0.054567426085623,"SPO Lambda Double Robust tree Sigma","Correct linear",0.11405018697391,0.144300824635269
800,"SPO_wrong_Lambda_Double_Robust",0.30312798010083,0.0688455808852534,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.284044958678144,0.322211001523517
1000,"SPO_correct_Lambda_Double_Robust",0.0872688732171537,0.0343185153959339,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0777562660741196,0.0967814803601879
1000,"SPO_wrong_Lambda_Double_Robust",0.263347171197089,0.0392979106465132,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.252454346108081,0.274239996286097
1200,"SPO_correct_Lambda_Double_Robust",0.0697449688188111,0.0245268614694022,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0629464696728461,0.0765434679647762
1200,"SPO_wrong_Lambda_Double_Robust",0.242477592162391,0.0330247315744397,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.233323603598275,0.251631580726506
1400,"SPO_correct_Lambda_Double_Robust",0.0573391307357058,0.0198530966372936,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0518361331058712,0.0628421283655404
1400,"SPO_wrong_Lambda_Double_Robust",0.226179096847769,0.0321021608298364,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.21728083184727,0.235077361848268
1600,"SPO_correct_Lambda_Double_Robust",0.0471047028446048,0.0167370445556129,"SPO Lambda Double Robust tree Sigma","Correct linear",0.042465430785305,0.0517439749039045
1600,"SPO_wrong_Lambda_Double_Robust",0.214202430082574,0.0233226417050412,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.207737723625485,0.220667136539663
400,"SPO_correct_Clip_Double_Robust",0.463871263675182,0.181485755257193,"SPO Clip tree Double Robust","Correct linear",0.413565978848581,0.514176548501782
400,"SPO_wrong_Clip_Double_Robust",0.635974486159685,0.171171802796888,"SPO Clip tree Double Robust","Wrong linear",0.588528083097488,0.683420889221883
